STT,Câu hỏi,Trả lời
1,Giải thích sự bằng nhau trong JavaScript,"Trong JavaScript, toán tử == được sử dụng để so sánh sự bằng nhau. Nó so sánh hai giá trị và trả về true nếu chúng bằng nhau, false nếu không. Tuy nhiên, nó thực hiện ép kiểu, nghĩa là nó chuyển đổi các toán hạng sang cùng một kiểu trước khi so sánh."
2,Giải thích Function.prototype.bind.,"Function.prototype.bind() là một phương thức trong JavaScript cho phép tạo một hàm mới với giá trị this được chỉ định và tùy chọn một số đối số ban đầu. Cú pháp: const newFunction = oldFunction.bind(thisArg, arg1, ag2, ..., argN)."
3,Giải thích sự khác biệt giữa Object.freeze() và const,"Object.freeze(): Là một phương thức của JavaScript để đóng băng một đối tượng, làm cho nó bất biến. Sau khi gọi Object.freeze(), không thể thêm, xóa hoặc sửa đổi bất kỳ thuộc tính nào của đối tượng. Các nỗ lực sửa đổi sẽ thất bại lặng lẽ (non-strict mode) hoặc ném lỗi (strict mode). Object.freeze() hoạt động trên chính đối tượng, làm cho đối tượng và các thuộc tính của nó bất biến. Const: Là một từ khóa trong JavaScript để khai báo hằng số. Khi khai báo một biến bằng const, không thể gán lại nó cho một giá trị khác. Tuy nhiên, điều này không làm cho đối tượng đó bất biến. Nếu biến là một đối tượng, các thuộc tính của nó vẫn có thể được sửa đổi hoặc gán lại, nhưng không thể gán một đối tượng mới cho biến. const đảm bảo tham chiếu biến không thay đổi, nhưng không đảm bảo tính bất biến của chính đối tượng."
4,IIFEs (Immediately Invoked Function Expressions) là gì?,"IIFEs là viết tắt của Immediately Invoked Function Expressions. Đây là các hàm JavaScript được thực thi ngay lập tức sau khi chúng được định nghĩa. Chúng thường được sử dụng để tạo một phạm vi mới và đóng gói mã, ngăn chặn các khai báo biến làm ô nhiễm phạm vi toàn cục."
5,"Chúng ta có thể mô tả sự khác biệt chính giữa vòng lặp .forEach và .map() không, và tại sao chúng ta chọn cái này thay vì cái kia?",".forEach(): Phương thức này được sử dụng để lặp qua một mảng và thực thi một hàm đã cung cấp một lần cho mỗi phần tử mảng. Nó không làm thay đổi mảng gốc và không trả về một mảng mới. Hàm callback truyền cho .forEach() có thể thực hiện các hành động trên mỗi phần tử của mảng, nhưng không tạo ra một mảng mới. .map(): Phương thức này được sử dụng để lặp qua một mảng và biến đổi từng phần tử bằng cách sử dụng một hàm đã cung cấp. Nó trả về một mảng mới với kết quả của việc gọi hàm đã cung cấp trên mỗi phần tử của mảng gốc. Hàm callback truyền cho .map() nên trả về một giá trị mới cho mỗi phần tử, giá trị này sẽ được đưa vào mảng mới."
6,"Cookie là gì? Làm thế nào để tạo, đọc và xóa cookie bằng JavaScript?","Cookie là một công cụ quan trọng cho phép lưu trữ thông tin người dùng dưới dạng cặp tên-giá trị được phân tách bằng dấu chấm phẩy trong định dạng chuỗi. Tạo cookies: Sử dụng từ khóa document.cookie. Đọc cookies: Hàm này truy xuất dữ liệu cookie được lưu trữ trong trình duyệt. Chuỗi cookie được mã hóa tự động khi gửi từ máy chủ đến trình duyệt. Xóa cookies: Cookie sẽ hết hạn khi ngày và giờ được chỉ định trong thuộc tính ""expires"" vượt quá thời gian đó, trình duyệt sẽ tự động xóa cookie."
7,Closure trong JavaScript là gì?,JavaScript closure là một tính năng cho phép các hàm bên trong truy cập phạm vi bên ngoài của một hàm. Closure giúp liên kết một hàm với ranh giới bên ngoài của nó và được tạo tự động mỗi khi một hàm được tạo.
8,Arrow function trong JavaScript là gì?,"Arrow function (()=>) là một cách viết ngắn gọn các hàm JavaScript. Chúng được giới thiệu trong phiên bản ES6, giúp mã dễ cấu trúc và dễ đọc hơn, thường được sử dụng trong giai đoạn phát triển."
9,Import và Export trong JavaScript là gì?,"Exports: Được sử dụng để phơi bày chức năng từ một module cho các phần khác của chương trình. Có thể export biến, hàm, lớp hoặc bất kỳ thực thể JavaScript nào khác bằng cách sử dụng từ khóa export. Có các cách export khác nhau: Default Export (export default myFunction;), Named Export (export const myVariable = 10;), Named Exports từ Expressions (export { myFunction };). Imports: Được sử dụng để đưa chức năng từ các module khác vào module hiện tại. Có thể import các thực thể đã export bằng từ khóa import. Có thể import default exports (import myFunction from './module';), named exports (import { myVariable } from './module';), hoặc tất cả named exports (import * as module from './module';)."
10,Các toán tử khác nhau trong JavaScript là gì?,JavaScript operators là các ký hiệu được sử dụng để thao tác một giá trị hoặc toán hạng nhất định. Các toán tử được sử dụng để thực hiện các phép tính toán học và logic cụ thể trên các toán hạng.
