STT,Câu hỏi,Trả lời
1,Cloud Technology là gì?,"Đám mây tính toán nghĩa là lưu trữ và truy cập dữ liệu cũng như chương trình trên các máy chủ từ xa được lưu trữ trên internet thay vì ổ cứng máy tính hoặc máy chủ cục bộ. Đám mây tính toán còn được gọi là tính toán dựa trên internet, đây là công nghệ mà tài nguyên được cung cấp dưới dạng dịch vụ qua internet cho người dùng. Dữ liệu được lưu trữ có thể là file, hình ảnh, tài liệu hoặc bất kỳ tài liệu nào có thể lưu trữ được."
2,Các mô hình giao hàng đám mây là gì?,Mô hình giao hàng đám mây là một tập hợp tài nguyên CNTT được đóng gói sẵn cụ thể do nhà cung cấp đám mây cung cấp. Các mô hình giao hàng đám mây phổ biến nhất đã được chấp nhận rộng rãi và chính thức hóa là: Phần mềm dưới dạng dịch vụ (SaaS) Nền tảng dưới dạng dịch vụ (PaaS) Cơ sở hạ tầng dưới dạng dịch vụ (IaaS) Bất cứ/Bất kỳ thứ gì dưới dạng dịch vụ (XaaS) Chức năng dưới dạng dịch vụ (FaaS)
3,Ai là các bên tham gia chính trong Kiến trúc Đám mây Tính toán?,Mỗi bên tham gia là một đối tượng (một cá nhân hoặc tổ chức) đóng góp vào một giao dịch hoặc phương pháp và/hoặc thực hiện các nhiệm vụ trong Đám mây tính toán. Có năm bên tham gia chính được định nghĩa trong kiến trúc tham chiếu đám mây NIST: Nhà cung cấp đám mây Nhà vận chuyển đám mây Nhà môi giới đám mây Kiểm toán viên đám mây Người tiêu dùng đám mây
4,Microservices là gì?,"Microservice là một dịch vụ phân tán nhỏ, lỏng lẻo. Kiến trúc microservice phát triển như một giải pháp cho các thách thức về khả năng mở rộng, triển khai độc lập và đổi mới với kiến trúc Monolithic (Ứng dụng Monolithic thường rất lớn – hơn 100.000 dòng mã). Nó cho phép bạn lấy một ứng dụng lớn và phân tích hoặc chia nhỏ thành các thành phần nhỏ dễ quản lý với trách nhiệm được định nghĩa hẹp."
5,Mô tả Kiến trúc Đám mây Tính toán.,"Kiến trúc đám mây tính toán là sự kết hợp giữa cả SOA (Kiến trúc Hướng Dịch vụ) và EDA (Kiến trúc Hướng Sự kiện). Cơ sở hạ tầng client, ứng dụng, dịch vụ, runtime đám mây, lưu trữ, cơ sở hạ tầng, quản lý và bảo mật là các thành phần của kiến trúc đám mây tính toán. Kiến trúc đám mây được chia thành 2 phần: Phía Frontend Phía Frontend của kiến trúc đám mây đề cập đến phía client của hệ thống đám mây tính toán. Điều này nghĩa là nó chứa tất cả các giao diện người dùng và ứng dụng mà client sử dụng để truy cập các dịch vụ/tài nguyên đám mây tính toán. Phía Backend Phía Backend đề cập đến chính đám mây được sử dụng bởi nhà cung cấp dịch vụ. Nó chứa tài nguyên cũng như quản lý tài nguyên và cung cấp cơ chế bảo mật."
6,Cloud Storage là gì?,"Trong Đám mây Tính toán, lưu trữ đám mây là một tủ khóa ảo nơi chúng ta có thể lưu trữ từ xa bất kỳ dữ liệu nào. Khi chúng ta tải lên một file lên máy chủ dựa trên đám mây như Google Drive, OneDrive hoặc iCloud, file đó được sao chép qua Internet vào một máy chủ dữ liệu dựa trên đám mây là không gian vật lý thực tế nơi các công ty lưu trữ file trên nhiều ổ cứng."
7,Software as a Service (SaaS) là gì?,"Phần mềm dưới dạng Dịch vụ (SaaS) là cách giao dịch dịch vụ và ứng dụng qua Internet. Thay vì cài đặt và bảo trì phần mềm, chúng ta chỉ cần truy cập nó qua Internet, giải phóng bản thân khỏi việc quản lý phần mềm và phần cứng phức tạp. Nó loại bỏ nhu cầu cài đặt và chạy ứng dụng trên máy tính của chúng ta hoặc trong trung tâm dữ liệu, loại bỏ chi phí bảo trì phần cứng và phần mềm."
8,Edge Computing là gì?,"Edge computing là một mô hình tính toán mới đề cập đến một tập hợp mạng và thiết bị nằm tại hoặc gần người dùng. Xử lý edge mang dữ liệu gần hơn với nơi nó được tạo ra, cho phép tốc độ xử lý nhanh hơn và lớn hơn, dẫn đến các câu trả lời có thể hành động hơn theo thời gian thực."
9,Sự khác biệt giữa Edge Computing và Cloud Computing là gì?,"Một API Gateway là thành phần chính trong thiết kế hệ thống, đặc biệt trong kiến trúc microservices và ứng dụng web hiện đại. Nó đóng vai trò là điểm vào trung tâm để quản lý và định tuyến yêu cầu từ client đến các microservices hoặc dịch vụ backend phù hợp trong hệ thống. Cloud-Native có thể được mô tả là cách tiếp cận xây dựng Ứng dụng Phần mềm dưới dạng Microservices và chạy cũng như bảo trì chúng trên nền tảng container hóa để tận dụng lợi ích đúng của mô hình đám mây tính toán, tức là mỗi tổ chức sẽ phải hiện đại hóa cơ sở hạ tầng, quy trình và cấu trúc tổ chức trong khi chọn các công nghệ đám mây phù hợp theo yêu cầu tương ứng và tổng sử dụng của người dùng. Q12. Rate Limiting là gì? Chiến lược giới hạn lưu lượng mạng bằng cách đặt giới hạn về tần suất ai đó có thể lặp lại hành động trong một khoảng thời gian nhất định. Rate limiting có thể giúp loại bỏ các hoạt động độc hại và tác động bot."
10,API Gateway là gì?,"Một API Gateway là thành phần chính trong thiết kế hệ thống, đặc biệt trong kiến trúc microservices và ứng dụng web hiện đại. Nó đóng vai trò là điểm vào trung tâm để quản lý và định tuyến yêu cầu từ client đến các microservices hoặc dịch vụ backend phù hợp trong hệ thống."
11,Các công nghệ cloud-native là gì?,"Cloud-Native có thể được mô tả là cách tiếp cận xây dựng Ứng dụng Phần mềm dưới dạng Microservices và chạy cũng như bảo trì chúng trên nền tảng container hóa để tận dụng lợi ích đúng của mô hình đám mây tính toán, tức là mỗi tổ chức sẽ phải hiện đại hóa cơ sở hạ tầng, quy trình và cấu trúc tổ chức trong khi chọn các công nghệ đám mây phù hợp theo yêu cầu tương ứng và tổng sử dụng của người dùng. Q12. Rate Limiting là gì? Chiến lược giới hạn lưu lượng mạng bằng cách đặt giới hạn về tần suất ai đó có thể lặp lại hành động trong một khoảng thời gian nhất định. Rate limiting có thể giúp loại bỏ các hoạt động độc hại và tác động bot."
12,Low-Density Data Centers là gì?,"Low-Density Data Centers được tối ưu hóa để cung cấp hiệu suất cao. Ràng buộc không gian đang được loại bỏ và mật độ tăng lên trong các trung tâm dữ liệu này. Một nhược điểm là với mật độ cao, vấn đề nhiệt độ cũng len lỏi vào. Các trung tâm dữ liệu này khá phù hợp để phát triển cơ sở hạ tầng đám mây."
13,Platform as a Service (PaaS) là gì?,"Nền tảng dưới dạng Dịch vụ (PaaS) là mô hình tính toán phân tán nơi nhà cung cấp bên ngoài phân bổ phần cứng và công cụ phần mềm cho khách hàng qua Internet. Thường thì chúng cần thiết cho phát triển ứng dụng. Nhà cung cấp PaaS có phần cứng và phần mềm trên hệ thống của mình. Do đó, nó giải phóng các nhà phát triển khỏi việc cài đặt phần cứng và phần mềm bên trong để tạo hoặc chạy một ứng dụng mới."
14,Các loại Đám mây Tính toán khác nhau là gì?,"Đám mây tính toán là tính toán dựa trên Internet trong đó một nhóm tài nguyên chia sẻ có sẵn qua truy cập mạng rộng, các tài nguyên này có thể được cung cấp hoặc giải phóng với nỗ lực quản lý tối thiểu và tương tác nhà cung cấp dịch vụ. Có 5 loại đám mây: Đám mây công cộng Đám mây riêng Đám mây lai Đám mây cộng đồng Đám mây đa"
15,Eucalyptus trong đám mây tính toán là gì?,Eucalyptus là kiến trúc phần mềm mã nguồn mở dựa trên Linux cho đám mây tính toán và cũng là nền tảng lưu trữ triển khai Cơ sở hạ tầng dưới dạng Dịch vụ (IaaS). Nó cung cấp dịch vụ tính toán nhanh chóng và hiệu quả. Eucalyptus được thiết kế để cung cấp dịch vụ tương thích với đám mây EC2 của Amazon và Dịch vụ Lưu trữ Đơn giản (S3). Các CLI của Eucalyptus có thể xử lý Dịch vụ Web Amazon và các instance riêng của chúng. Client có quyền tự do chuyển instance từ Eucalyptus sang Amazon Elastic Cloud.
