STT,Câu hỏi,Trả lời
1,Điện toán đám mây (Cloud Computing) là gì?,"Điện toán đám mây là việc cung cấp các dịch vụ điện toán như máy chủ, lưu trữ, cơ sở dữ liệu, mạng và phần mềm qua Internet (""đám mây""), mang lại khả năng đổi mới nhanh hơn, tài nguyên linh hoạt và tính kinh tế theo quy mô."
2,Các mô hình dịch vụ đám mây chính là gì?,"Ba mô hình dịch vụ đám mây chính là IaaS (Cơ sở hạ tầng như một Dịch vụ - cung cấp tài nguyên tính toán ảo hóa, ví dụ: AWS EC2), PaaS (Nền tảng như một Dịch vụ - cung cấp các công cụ phần cứng và phần mềm, ví dụ: Google App Engine) và SaaS (Phần mềm như một Dịch vụ - cung cấp ứng dụng phần mềm, ví dụ: Microsoft 365)."
3,"Sự khác biệt giữa đám mây công cộng, riêng tư và lai (hybrid) là gì?","Đám mây công cộng cung cấp dịch vụ qua internet công cộng và được chia sẻ giữa các tổ chức (ví dụ: AWS, Azure). Đám mây riêng tư được duy trì trên một mạng riêng và chỉ được sử dụng độc quyền bởi một tổ chức. Đám mây lai kết hợp cả đám mây công cộng và riêng tư, cho phép chia sẻ dữ liệu và ứng dụng giữa chúng."
4,AWS là gì và tại sao nó phổ biến?,"AWS (Amazon Web Services) là một nền tảng đám mây hàng đầu cung cấp các giải pháp điện toán đám mây có thể mở rộng, đáng tin cậy và tiết kiệm chi phí. Nó phổ biến nhờ danh mục dịch vụ rộng lớn, cơ sở hạ tầng toàn cầu và mô hình giá trả theo nhu cầu."
5,Tự động mở rộng quy mô (Auto-scaling) trong điện toán đám mây là gì?,"Tự động mở rộng quy mô là tính năng tự động điều chỉnh số lượng tài nguyên điện toán dựa trên lưu lượng truy cập hoặc nhu cầu, đảm bảo hiệu suất tối ưu và hiệu quả chi phí."
6,Cổng lưu trữ đám mây (Cloud storage gateway) là gì?,"Cổng lưu trữ đám mây là một thiết bị lưu trữ đám mây lai kết nối các hệ thống tại chỗ (on-premises) với lưu trữ đám mây, cho phép chuyển và tích hợp dữ liệu liên tục."
7,Vai trò của hypervisor trong điện toán đám mây là gì?,Hypervisor là một lớp phần mềm cho phép ảo hóa bằng cách cho phép nhiều hệ điều hành chạy trên một máy vật lý duy nhất.
8,Sự khác biệt giữa tính đàn hồi (elasticity) và khả năng mở rộng (scalability)?,Tính đàn hồi là khả năng tự động mở rộng hoặc thu hẹp tài nguyên dựa trên nhu cầu. Khả năng mở rộng là khả năng xử lý khối lượng công việc tăng lên bằng cách thêm tài nguyên.
9,Ứng dụng cloud-native là gì?,"Ứng dụng cloud-native được thiết kế đặc biệt cho môi trường đám mây, tận dụng kiến trúc microservices, container và các phương pháp DevOps."
10,Sự khác biệt giữa mở rộng quy mô ngang (horizontal) và dọc (vertical)?,Mở rộng ngang là thêm các instances hoặc nodes để xử lý tải tăng lên (ví dụ: thêm máy chủ). Mở rộng dọc là tăng công suất của một instance hiện có (ví dụ: nâng cấp CPU hoặc RAM).
11,Các nhà cung cấp dịch vụ đám mây lớn là哪些?,"Các nhà cung cấp dịch vụ đám mây lớn包括 Amazon Web Services (AWS), Microsoft Azure, Google Cloud Platform (GCP), IBM Cloud và Oracle Cloud."
12,"Sự khác biệt giữa AWS, Azure và GCP?","AWS, Azure và GCP là ba nhà cung cấp dịch vụ đám mây lớn, mỗi bên có thế mạnh riêng: AWS là nền tảng trưởng thành và được áp dụng rộng rãi nhất với danh mục dịch vụ lớn nhất. Azure mạnh về tích hợp với các sản phẩm và dịch vụ của Microsoft, lý tưởng cho doanh nghiệp. GCP nổi tiếng với khả năng phân tích dữ liệu và máy học."
13,Vùng (Region) và Vùng sẵn sàng (Availability Zone - AZ) trong đám mây là gì?,"Region là khu vực địa lý nơi triển khai tài nguyên đám mây (ví dụ: US East, Europe West). Availability Zone (AZ) là các trung tâm dữ liệu biệt lập trong một Region, cung cấp dự phòng và khả năng chịu lỗi."
14,Sự khác biệt giữa lưu trữ đối tượng (object) và khối (block)?,"Lưu trữ đối tượng lưu trữ dữ liệu dưới dạng các object trong một cấu trúc phẳng (ví dụ: AWS S3), lý tưởng cho dữ liệu phi cấu trúc như hình ảnh và video. Lưu trữ khối lưu trữ dữ liệu trong các khối kích thước cố định (ví dụ: AWS EBS), lý tưởng cho cơ sở dữ liệu và ứng dụng yêu cầu độ trễ thấp."
15,Cơ sở dữ liệu đám mây (Cloud database) là gì?,"Cơ sở dữ liệu đám mây là một dịch vụ cơ sở dữ liệu được xây dựng và truy cập thông qua một nền tảng đám mây, có thể là quan hệ (ví dụ: MySQL) hoặc phi quan hệ (ví dụ: MongoDB)."
16,Sự khác biệt giữa cơ sở dữ liệu SQL và NoSQL?,"Cơ sở dữ liệu SQL là cơ sở dữ liệu quan hệ sử dụng ngôn ngữ truy vấn có cấu trúc (ví dụ: MySQL, PostgreSQL). Cơ sở dữ liệu NoSQL là cơ sở dữ liệu phi quan hệ lưu trữ dữ liệu phi cấu trúc hoặc bán cấu trúc (ví dụ: MongoDB, Cassandra)."
17,Bộ cân bằng tải đám mây (Cloud load balancer) là gì?,"Bộ cân bằng tải đám mây phân phối lưu lượng mạng đến trên nhiều máy chủ để đảm bảo không có máy chủ nào bị quá tải, cải thiện tính khả dụng và độ tin cậy."
18,CDN (Mạng phân phối nội dung - Content Delivery Network) là gì?,"CDN là một mạng lưới các máy chủ phân tán phân phối nội dung web đến người dùng dựa trên vị trí địa lý của họ, giúp giảm độ trễ và cải thiện thời gian tải."
19,Sự khác biệt giữa độ trễ (latency) và băng thông (bandwidth)?,Độ trễ là thời gian cần thiết để dữ liệu di chuyển từ nguồn đến đích. Băng thông là lượng dữ liệu tối đa có thể được truyền qua mạng trong một khoảng thời gian nhất định.
20,VPN (Mạng riêng ảo - Virtual Private Network) là gì?,"VPN tạo ra một kết nối được mã hóa an toàn qua internet, cho phép người dùng truy cập từ xa vào một mạng riêng."
21,Tường lửa (Firewall) là gì và nó hoạt động như thế nào?,"Tường lửa là một hệ thống bảo mật mạng giám sát và kiểm soát lưu lượng đến và đi dựa trên các quy tắc được xác định trước, bảo vệ mạng khỏi truy cập trái phép."
22,Sự khác biệt giữa HTTP và HTTPS?,"HTTP là giao thức để truyền các trang web, nhưng dữ liệu không được mã hóa. HTTPS là phiên bản bảo mật của HTTP, mã hóa dữ liệu bằng SSL/TLS."
23,DNS (Hệ thống tên miền - Domain Name System) là gì?,DNS dịch các tên miền dễ đọc (ví dụ: www.example.com) thành địa chỉ IP mà máy tính sử dụng để nhận dạng nhau trên mạng.
24,Subnet trong mạng đám mây là gì?,"Subnet là một dải địa chỉ IP trong một mạng, giúp tổ chức và bảo mật tài nguyên trong môi trường đám mây."
25,NAT (Dịch địa chỉ mạng - Network Address Translation) là gì?,NAT cho phép nhiều thiết bị trên một mạng riêng chia sẻ một địa chỉ IP công cộng duy nhất để truy cập internet.
26,Sự khác biệt giữa IP công cộng và IP riêng tư?,IP công cộng có thể truy cập được qua internet và được sử dụng để giao tiếp với các mạng bên ngoài. IP riêng tư được sử dụng trong một mạng riêng và không thể truy cập được qua internet.
27,Cổng đám mây (Cloud gateway) là gì?,"Cổng đám mây kết nối các hệ thống tại chỗ với lưu trữ đám mây, cho phép chuyển và tích hợp dữ liệu liên tục."
28,Sự khác biệt giữa máy ảo (virtual machine) và container?,"Máy ảo bao gồm một hệ điều hành đầy đủ và chạy độc lập với hệ điều hành máy chủ. Container thì nhẹ, di động và chia sẻ kernel của hệ điều hành máy chủ."
29,Docker là gì và nó liên quan như thế nào đến điện toán đám mây?,"Docker là một nền tảng để phát triển, vận chuyển và chạy ứng dụng trong container, giúp đơn giản hóa việc triển khai ứng dụng trong môi trường đám mây."
30,Kubernetes là gì và tại sao nó quan trọng?,"Kubernetes là một nền tảng điều phối container mã nguồn mở tự động hóa việc triển khai, mở rộng quy mô và quản lý các ứng dụng được đóng gói trong container."
31,"Sự khác biệt giữa IaaS, PaaS và SaaS?",IaaS cung cấp tài nguyên tính toán được ảo hóa (ví dụ: AWS EC2). PaaS cung cấp các công cụ phần cứng và phần mềm để phát triển ứng dụng (ví dụ: Google App Engine). SaaS cung cấp ứng dụng phần mềm qua internet (ví dụ: Microsoft 365).
32,Chiến lược di chuyển lên đám mây (Cloud migration strategy) là gì?,"Chiến lược di chuyển lên đám mây phác thảo quy trình chuyển ứng dụng, dữ liệu và cơ sở hạ tầng từ môi trường tại chỗ lên đám mây."
33,"Sự khác biệt giữa rehosting, refactoring và rearchitecting?",Rehosting (Di chuyển lại máy chủ) là di chuyển ứng dụng lên đám mây mà không sửa đổi (lift-and-shift). Refactoring (Tái cấu trúc mã) là thực hiện các thay đổi nhỏ để tối ưu hóa ứng dụng cho đám mây. Rearchitecting (Tái kiến trúc) là thiết kế lại ứng dụng để tận dụng đầy đủ các tính năng cloud-native.
34,Ứng dụng cloud-native là gì?,"Ứng dụng cloud-native được thiết kế đặc biệt cho môi trường đám mây, tận dụng kiến trúc microservices, container và các phương pháp DevOps."
35,Sự khác biệt giữa mở rộng quy mô ngang và dọc?,Mở rộng ngang là thêm các instances hoặc nodes để xử lý tải tăng lên (ví dụ: thêm máy chủ). Mở rộng dọc là tăng công suất của một instance hiện có (ví dụ: nâng cấp CPU hoặc RAM).
36,Tự động mở rộng quy mô trong điện toán đám mây là gì?,"Tự động mở rộng quy mô là tính năng tự động điều chỉnh số lượng tài nguyên điện toán dựa trên lưu lượng truy cập hoặc nhu cầu, đảm bảo hiệu suất tối ưu và hiệu quả chi phí."
37,Sự khác biệt giữa tính đàn hồi và khả năng mở rộng?,Tính đàn hồi là khả năng tự động mở rộng hoặc thu hẹp tài nguyên dựa trên nhu cầu. Khả năng mở rộng là khả năng xử lý khối lượng công việc tăng lên bằng cách thêm tài nguyên.
38,Cổng lưu trữ đám mây là gì?,"Cổng lưu trữ đám mây là một thiết bị lưu trữ đám mây lai kết nối các hệ thống tại chỗ với lưu trữ đám mây, cho phép chuyển và tích hợp dữ liệu liên tục."
39,Vai trò của hypervisor trong điện toán đám mây là gì?,Hypervisor là một lớp phần mềm cho phép ảo hóa bằng cách cho phép nhiều hệ điều hành chạy trên một máy vật lý duy nhất.
40,Sự khác biệt giữa kiến trúc nguyên khối (monolithic) và microservices?,"Kiến trúc nguyên khối là một ứng dụng thống nhất, duy nhất nơi tất cả các thành phần được kết hợp chặt chẽ. Kiến trúc microservices chia một ứng dụng thành các dịch vụ nhỏ hơn, độc lập giao tiếp thông qua API."
41,Vai trò của API gateway trong điện toán đám mây là gì?,"API gateway đóng vai trò là điểm vào duy nhất để quản lý, bảo mật và định tuyến các yêu cầu API giữa client và các dịch vụ backend."
42,Sự khác biệt giữa phân vùng ngang (horizontal) và dọc (vertical) trong cơ sở dữ liệu?,Phân vùng ngang chia các hàng của một bảng trên nhiều cơ sở dữ liệu. Phân vùng dọc chia các cột của một bảng thành các bảng riêng biệt.
43,Sự khác biệt giữa hệ thống phân tán (distributed) và tập trung (centralized)?,Hệ thống phân tán có các tài nguyên được trải rộng trên nhiều node hoặc địa điểm. Hệ thống tập trung quản lý tất cả tài nguyên từ một địa điểm duy nhất.
44,Vai trò của service mesh trong microservices là gì?,"Service mesh (ví dụ: Istio) cung cấp các tính năng như cân bằng tải, khám phá dịch vụ và bảo mật cho giao tiếp giữa các microservices."
45,Sự khác biệt giữa ứng dụng cloud-native và cloud-agnostic?,Cloud-Native được thiết kế đặc biệt cho một nền tảng đám mây cụ thể (ví dụ: AWS Lambda). Cloud-Agnostic được thiết kế để chạy trên bất kỳ nền tảng đám mây nào mà không cần sửa đổi.
46,Vai trò của AI và máy học trong điện toán đám mây là gì?,"AI và ML được sử dụng trong đám mây để phân tích dự đoán, tự động hóa và nâng cao các dịch vụ như xử lý ngôn ngữ tự nhiên và nhận dạng hình ảnh."
47,Sự khác biệt giữa data lake và data warehouse?,"Data Lake lưu trữ dữ liệu thô, phi cấu trúc để phân tích trong tương lai. Data Warehouse lưu trữ dữ liệu có cấu trúc, đã được xử lý để báo cáo và phân tích."
48,Vai trò của điện toán biên (edge computing) trong kiến trúc đám mây là gì?,"Điện toán biên đưa khả năng tính toán và lưu trữ dữ liệu đến gần nguồn phát sinh dữ liệu hơn, làm giảm độ trễ và sử dụng băng thông."
49,Sự khác biệt giữa máy ảo và container?,"Máy ảo bao gồm một hệ điều hành đầy đủ và chạy độc lập với hệ điều hành máy chủ. Container thì nhẹ, di động và chia sẻ kernel của hệ điều hành máy chủ."
50,Vai trò của Kubernetes trong điện toán đám mây là gì?,"Kubernetes tự động hóa việc triển khai, mở rộng quy mô và quản lý các ứng dụng được đóng gói trong container, khiến nó trở nên thiết yếu cho phát triển cloud-native."
