STT,Câu hỏi,Trả lời
1,"Nhà phân tích dữ liệu làm gì, và phân tích dữ liệu khác với phân tích dữ liệu như thế nào?","Một nhà phân tích dữ liệu thu thập, xử lý và diễn giải dữ liệu để giúp các doanh nghiệp đưa ra quyết định sáng suốt. Phân tích dữ liệu là quá trình kiểm tra các tập dữ liệu, trong khi phân tích dữ liệu là một lĩnh vực rộng hơn bao gồm các công cụ và phương pháp dùng cho phân tích, dự đoán và tự động hóa."
2,Bạn theo các bước nào trong quá trình phân tích dữ liệu khi làm việc với dữ liệu thô?,"Thường là một ý tưởng tốt để theo một quy trình năm bước khi làm việc với dữ liệu thô: Hiểu vấn đề: Bắt đầu bằng việc xác định rõ vấn đề cần giải quyết, xác định mục tiêu kinh doanh và xác định loại insight cần thiết để đạt được (đây là mục tiêu cuối cùng mà sau tất cả). Thu thập dữ liệu: Khi mục tiêu rõ ràng, thu thập dữ liệu. Dữ liệu này có thể đến từ cơ sở dữ liệu, API, bảng tính hoặc thậm chí các nguồn bên thứ ba. Làm sạch và tổ chức dữ liệu: Chúng ta sẽ muốn làm sạch dữ liệu bằng cách loại bỏ các bản sao, xử lý các giá trị thiếu và chuẩn hóa định dạng. Khám phá dữ liệu qua các hình ảnh hóa: Với dữ liệu sạch, bắt đầu thử nghiệm với các hình ảnh hóa khác nhau để khám phá xu hướng, phân bố và mối quan hệ. Rút ra kết luận dựa trên các phát hiện: Cuối cùng, phân tích dữ liệu trong bối cảnh vấn đề ban đầu và sử dụng kết quả để rút ra các insight."
3,Bạn sẽ tiếp cận làm sạch dữ liệu và xử lý dữ liệu thiếu trong một tập dữ liệu như thế nào?,"Làm sạch dữ liệu và xử lý sự thiếu hụt một số giá trị thường liên quan đến một số bước: Xác định dữ liệu thiếu hoặc không nhất quán: Chúng ta đầu tiên phải quét tập dữ liệu để tìm các giá trị null, bất thường hoặc vấn đề định dạng có thể do lỗi gây ra. Đánh giá tác động của các giá trị thiếu: Sau đó, chúng ta đánh giá bao nhiêu dữ liệu bị thiếu và xác định các trường đó quan trọng đến mức nào đối với phân tích. Chọn chiến lược xử lý: Tiếp theo, chúng ta chọn liệu có điền dữ liệu thiếu (imputation), loại trừ các hàng bị ảnh hưởng hoặc đánh dấu các bản ghi không hoàn chỉnh. Tất cả phụ thuộc vào bối cảnh kinh doanh, tất nhiên. Impute hoặc loại bỏ giá trị: Nếu bạn định impute dữ liệu, sử dụng các phương pháp như mean, median hoặc mode imputation để tính toán các giá trị thiếu một cách hợp lý với bối cảnh dữ liệu. Nếu không, chỉ loại bỏ các bản ghi có khoảng trống quá nhiều nếu cần thiết. Xác minh tập dữ liệu đã làm sạch: Chạy các kiểm tra xác thực dữ liệu để đảm bảo quá trình làm sạch bảo tồn tính toàn vẹn dữ liệu và không giới thiệu thiên kiến."
4,"Phân tích dữ liệu khám phá là gì, và tại sao nó quan trọng khi phân tích dữ liệu?","EDA là một bước ban đầu quan trọng trong bất kỳ dự án dữ liệu nào, thường sử dụng các phương pháp hình ảnh để hiểu dữ liệu. Nó giúp các nhà phân tích dữ liệu xác định mẫu, phát hiện bất thường, kiểm tra giả định và hiểu cấu trúc và phân bố dữ liệu. Đầu ra của EDA của bạn sẽ đóng vai trò là đầu vào cho việc chọn các mô hình và phương pháp phù hợp cho phân tích sâu hơn, cuối cùng giảm rủi ro không chính xác trong kết quả cuối cùng."
5,Bạn đảm bảo chất lượng dữ liệu như thế nào khi thu thập dữ liệu từ các nguồn dữ liệu khác nhau?,"Đảm bảo chất lượng liên quan đến việc xác thực tính chính xác, đầy đủ, nhất quán và đáng tin cậy của dữ liệu thu thập từ mỗi nguồn. Việc làm từ một nguồn hay nhiều nguồn hầu như không liên quan vì nhiệm vụ bổ sung duy nhất sẽ là đồng nhất hóa schema cuối cùng của dữ liệu, đảm bảo loại bỏ trùng lặp và chuẩn hóa. Phần cuối cùng này thường bao gồm xác minh độ tin cậy của mỗi nguồn dữ liệu, chuẩn hóa định dạng (như ngày/giờ hoặc tiền tệ), thực hiện căn chỉnh schema và chạy profiling để phát hiện bất thường, trùng lặp hoặc không khớp trước khi tích hợp dữ liệu cho phân tích."
6,"Vai trò của hình ảnh hóa dữ liệu trong phân tích của bạn là gì, và bạn đã sử dụng các công cụ hình ảnh hóa dữ liệu nào?","Hình ảnh hóa dữ liệu đóng vai trò quan trọng trong việc làm cho dữ liệu dễ tiếp cận và dễ hiểu bằng cách biến các con số thô thành các định dạng hình ảnh tiết lộ xu hướng, tương quan và ngoại lai. Sau tất cả, nó giúp các nhà phân tích khám phá dữ liệu bằng cách tóm tắt vô tận các hàng giá trị thành các biểu diễn đơn giản có thể truyền đạt phát hiện hiệu quả đến các bên liên quan không kỹ thuật. Các công cụ phổ biến cho mục đích này bao gồm Excel hoặc Google Spreadsheets cho các hình ảnh nhanh, Tableau và Power BI cho các bảng điều khiển tương tác, và các thư viện Python như Matplotlib và Seaborn cho các biểu đồ tùy chỉnh."
7,Bạn có thể giải thích data wrangling là gì và tại sao nó quan trọng khi làm việc với dữ liệu không cấu trúc không?,"Đó là quá trình làm sạch, cấu trúc và làm phong phú dữ liệu thành định dạng mong muốn để nó có thể được phân tích thêm trong pipeline. Nó đặc biệt hữu ích với dữ liệu thiếu cấu trúc, chẳng hạn như tệp văn bản, email hoặc bài đăng mạng xã hội, vì các định dạng này cần được phân tích cú pháp, chuẩn hóa và chuyển đổi trước khi có thể được phân tích."
8,"Data profiling là gì, và nó giúp bạn xác định các giá trị không đúng như thế nào?","Profiling là quá trình kiểm tra dữ liệu có sẵn trong một tập dữ liệu hiện có và thu thập thống kê và tóm tắt về dữ liệu đó. Trong khi nó có thể bị nhầm lẫn với EDA, profiling thay vào đó có thể được coi là bước đầu tiên của EDA, giúp xác định các vấn đề chất lượng như giá trị null, bản ghi trùng lặp, ngoại lai và định dạng bất ngờ. Do đó, cho phép các nhà phân tích sửa chữa hoặc giải quyết các vấn đề này trước khi họ bắt đầu tìm kiếm mẫu và ngoại lai như một phần của phân tích khám phá."
9,Mô tả sự khác biệt giữa dữ liệu số và dữ liệu phân loại,"Hai loại dữ liệu này khá khác nhau, một mặt bạn có dữ liệu số đại diện cho các lượng đo lường và bao gồm dữ liệu liên tục (như chiều cao, cân nặng, thu nhập) và dữ liệu rời rạc (như số lượng con cái). Mặt khác, bạn có dữ liệu đại diện cho nhãn hoặc danh mục như loại sản phẩm, bộ phận hoặc phân khúc người dùng, và có thể là danh nghĩa (không thứ tự) hoặc thứ tự (có thứ tự)."
10,Bạn sử dụng Microsoft Excel như thế nào trong các nhiệm vụ hàng ngày với tư cách là nhà phân tích dữ liệu?,"Excel là một công cụ khá đa năng được sử dụng bởi hầu như mọi người trong ngành dữ liệu. Trong khi nó có thể không phải là lựa chọn tốt nhất cho tất cả các trường hợp sử dụng, nó thường được sử dụng cho các nhiệm vụ như nhập dữ liệu, làm sạch dữ liệu nhanh, tạo bảng pivot, thực hiện phân tích cơ bản và xây dựng hình ảnh hóa ban đầu. Với sự dễ sử dụng và sức mạnh của nó, nó thường đóng vai trò là nền tảng hữu ích cho việc tạo nguyên mẫu trước khi mở rộng lên các công cụ phức tạp hơn như SQL hoặc Python."
