STT,Câu hỏi,Trả lời
1,Hệ quản trị cơ sở dữ liệu (DBMS) là gì?,"Hệ quản trị cơ sở dữ liệu (DBMS) là phần mềm dùng để quản lý và tổ chức cơ sở dữ liệu, cung cấp giao diện để tương tác với dữ liệu. DBMS chịu trách nhiệm lưu trữ, truy xuất, cập nhật dữ liệu, đảm bảo tính toàn vẹn, bảo mật và quản lý đồng thời. Ví dụ: MySQL, PostgreSQL, Oracle, SQL Server."
2,Lợi ích của việc sử dụng DBMS là gì?,"Lợi ích của DBMS: Tính toàn vẹn dữ liệu: Đảm bảo dữ liệu chính xác và nhất quán. Bảo mật dữ liệu: Kiểm soát truy cập dữ liệu nhạy cảm qua quyền người dùng. Truy xuất hiệu quả: Tối ưu hóa truy vấn và lập chỉ mục, tăng tốc truy xuất. Giảm dư thừa: Tránh trùng lặp dữ liệu bằng chuẩn hóa. Sao lưu và khôi phục: Cung cấp cơ chế sao lưu và khôi phục tự động. Truy cập đồng thời: Cho phép nhiều người dùng truy cập cùng lúc mà không xung đột."
3,Sự khác biệt giữa DBMS và RDBMS là gì?,"DBMS: Hệ thống cho phép tạo, lưu trữ, sửa đổi, xóa dữ liệu, không yêu cầu cấu trúc quan hệ. Ví dụ: Microsoft Access, cơ sở dữ liệu XML. RDBMS: Tập con của DBMS, lưu trữ dữ liệu trong bảng (quan hệ), hỗ trợ thao tác quan hệ như nối, đảm bảo toàn vẹn dữ liệu qua khóa và hỗ trợ SQL. Ví dụ: MySQL, Oracle, SQL Server."
4,Các loại DBMS khác nhau là gì?,"Có bốn loại DBMS: Phân cấp: Dữ liệu tổ chức dạng cây với mối quan hệ cha-con. Ví dụ: IBM’s IMS. Mạng: Dữ liệu biểu diễn dạng đồ thị với quan hệ nhiều-đối-nhiều. Ví dụ: Integrated Data Store (IDS). Quan hệ (RDBMS): Dữ liệu tổ chức trong bảng, quản lý qua SQL. Ví dụ: MySQL, PostgreSQL. Hướng đối tượng: Dữ liệu lưu trữ dạng đối tượng, giống lập trình hướng đối tượng. Ví dụ: ObjectDB."
5,Quan hệ (relation) trong DBMS là gì?,"Quan hệ là bảng gồm hàng và cột. Mỗi hàng đại diện cho bản ghi, mỗi cột đại diện cho thuộc tính của thực thể. Quan hệ được định nghĩa bởi lược đồ xác định các cột."
6,Bảng (table) trong DBMS là gì?,"Bảng là tập hợp dữ liệu tổ chức theo hàng và cột, cấu trúc chính để lưu trữ dữ liệu trong cơ sở dữ liệu quan hệ. Mỗi hàng là bản ghi, mỗi cột là thuộc tính."
7,Hàng và cột trong DBMS là gì?,"Hàng (Tuples): Đại diện cho bản ghi hoặc thực thể, chứa giá trị cho mỗi thuộc tính. Cột (Attributes): Đại diện cho đặc tính của thực thể, có kiểu dữ liệu như số nguyên, chuỗi, v.v."
8,Các thành phần chính của DBMS là gì?,"Các thành phần chính: Công cụ cơ sở dữ liệu: Lưu trữ, truy xuất, quản lý dữ liệu. Lược đồ cơ sở dữ liệu: Định nghĩa tổ chức cơ sở dữ liệu. Bộ xử lý truy vấn: Diễn giải, thực thi truy vấn SQL. Quản lý giao dịch: Đảm bảo thuộc tính ACID. Quản lý lưu trữ: Quản lý lưu trữ vật lý."
9,Khóa chính (primary key) là gì?,"Khóa chính là một hoặc tập hợp cột xác định duy nhất mỗi bản ghi trong bảng, đảm bảo không có bản ghi trùng lặp và không chứa giá trị null."
10,Khóa ngoại (foreign key) là gì?,"Khóa ngoại là cột hoặc tập hợp cột trong bảng tham chiếu đến khóa chính của bảng khác, duy trì tính toàn vẹn tham chiếu giữa các bảng."
11,Khóa ứng viên (candidate key) là gì?,"Khóa ứng viên là tập hợp cột có thể xác định duy nhất mỗi bản ghi trong bảng. Một bảng có thể có nhiều khóa ứng viên, nhưng chỉ một được chọn làm khóa chính."
12,Khóa thay thế (alternate key) là gì?,Khóa thay thế là khóa ứng viên không được chọn làm khóa chính nhưng vẫn có thể xác định duy nhất bản ghi.
13,Chuẩn hóa (normalization) trong DBMS là gì?,"Chuẩn hóa là quá trình tổ chức dữ liệu trong cơ sở dữ liệu để loại bỏ dư thừa và đảm bảo tính toàn vẹn dữ liệu, thông qua các dạng chuẩn (normal forms)."
14,Các dạng chuẩn (normal forms) là gì?,"Các dạng chuẩn là quy tắc để chuẩn hóa cơ sở dữ liệu: 1NF: Loại bỏ nhóm lặp, đảm bảo dữ liệu nguyên tử. 2NF: Loại bỏ phụ thuộc hàm một phần. 3NF: Loại bỏ phụ thuộc bắc cầu. BCNF: Mở rộng 3NF, đảm bảo mọi yếu tố quyết định là khóa ứng viên."
15,Phản chuẩn hóa (denormalization) là gì?,"Phản chuẩn hóa là quá trình thêm dữ liệu dư thừa hoặc nhóm dữ liệu để cải thiện hiệu suất truy vấn, thường dùng trong kho dữ liệu."
16,ACID trong DBMS là gì?,ACID là các thuộc tính của giao dịch: Atomicity: Đảm bảo giao dịch hoàn tất hoặc không thực hiện. Consistency: Đảm bảo dữ liệu nhất quán sau giao dịch. Isolation: Giao dịch độc lập với nhau. Durability: Kết quả giao dịch được lưu vĩnh viễn.
17,Giao dịch (transaction) trong DBMS là gì?,"Giao dịch là tập hợp các thao tác được thực thi như một đơn vị công việc, đảm bảo tính toàn vẹn dữ liệu thông qua thuộc tính ACID."
18,Lược đồ cơ sở dữ liệu (database schema) là gì?,"Lược đồ cơ sở dữ liệu là cấu trúc logic định nghĩa cách dữ liệu được tổ chức, bao gồm bảng, cột, kiểu dữ liệu, và mối quan hệ."
19,Chỉ mục (index) trong DBMS là gì?,"Chỉ mục là cấu trúc dữ liệu cải thiện tốc độ truy xuất dữ liệu bằng cách cung cấp đường dẫn nhanh đến bản ghi, nhưng tăng chi phí lưu trữ và cập nhật."
20,Các loại chỉ mục trong DBMS là gì?,"Các loại chỉ mục: Chỉ mục chính: Dựa trên khóa chính, đảm bảo duy nhất. Chỉ mục duy nhất: Đảm bảo giá trị cột duy nhất. Chỉ mục cụm: Sắp xếp dữ liệu vật lý theo chỉ mục. Chỉ mục không cụm: Không thay đổi thứ tự vật lý, chỉ lưu con trỏ."
21,Join trong DBMS là gì?,"Join là thao tác kết hợp dữ liệu từ hai hoặc nhiều bảng dựa trên điều kiện chung, như khóa chính và khóa ngoại."
