STT,Câu hỏi,Trả lời
1,Xác suất biên (Marginal Probability) là gì?,"Xác suất biên là xác suất xảy ra của một sự kiện cụ thể, mà không quan tâm đến các sự kiện khác. Ví dụ, nếu bạn đang xem xét xác suất mưa vào ngày mai, bạn chỉ quan tâm đến khả năng mưa, không phải các điều kiện thời tiết khác như gió hoặc nhiệt độ."
2,Các tiên đề xác suất (Probability Axioms) là gì?,"Các tiên đề xác suất là các quy tắc cơ bản giúp chúng ta hiểu cách hoạt động của xác suất. Có ba tiên đề chính: Tiên đề phi âm (Non-Negativity Axiom): Xác suất không thể âm. Khả năng xảy ra của một sự kiện luôn ≥ 0, không bao giờ nhỏ hơn. Tiên đề chuẩn hóa (Normalization Axiom): Nếu một sự kiện chắc chắn xảy ra (như mặt trời mọc vào ngày mai), xác suất của nó là 1. Vậy, 1 nghĩa là ""chắc chắn xảy ra"". Tiên đề cộng (Additivity Axiom): Nếu hai sự kiện không thể xảy ra cùng lúc (như tung xúc xắc ra số 3 hoặc 4), xác suất xảy ra một trong hai là tổng của các xác suất riêng lẻ."
3,Sự khác biệt giữa các sự kiện phụ thuộc và độc lập trong xác suất là gì?,"Các sự kiện độc lập (Independent Events): Hai sự kiện độc lập nếu một sự kiện không thay đổi khả năng xảy ra của sự kiện kia. Ví dụ, tung đồng xu hai lần – lần tung đầu không ảnh hưởng đến lần thứ hai. Vậy, xác suất cả hai xảy ra là tích của các xác suất riêng lẻ. Các sự kiện phụ thuộc (Dependent Events): Hai sự kiện phụ thuộc nếu một sự kiện ảnh hưởng đến khả năng xảy ra của sự kiện kia. Ví dụ, rút một lá bài từ bộ bài và không đặt lại (không thay thế), xác suất rút lá thứ hai phụ thuộc vào lá đầu tiên. Xác suất thay đổi vì một lá đã được rút ra."
4,Xác suất có điều kiện (Conditional Probability) là gì?,"Xác suất có điều kiện là xác suất xảy ra của một sự kiện khi biết rằng một sự kiện khác đã xảy ra. Toán học, nó được định nghĩa là xác suất sự kiện A xảy ra, khi sự kiện B đã xảy ra, ký hiệu là P(A│B). Công thức là: P(A│B) = P(A ∩ B) / P(B), trong đó P(A│B) là xác suất có điều kiện của A khi B, P(A ∩ B) là xác suất chung của cả A và B xảy ra cùng lúc, P(B) là xác suất của B xảy ra."
5,Định lý Bayes là gì và khi nào chúng ta sử dụng nó trong Data Science?,"Định lý Bayes giúp tính xác suất xảy ra của một sự kiện dựa trên kiến thức trước hoặc bằng chứng. Nó giống như cập nhật dự đoán của chúng ta khi học được thông tin mới. Công thức: P(A│B) = [P(B│A) * P(A)] / P(B), trong đó P(A│B) là xác suất A xảy ra khi B đã xảy ra, P(B│A) là xác suất B xảy ra khi A xảy ra, P(A) là xác suất A xảy ra bất kể B, P(B) là xác suất B xảy ra bất kể A."
6,Định nghĩa phương sai (Variance) và phương sai có điều kiện (Conditional Variance).,"Phương sai là cách đo lường mức độ phân tán hoặc khác biệt của các số trong tập dữ liệu so với trung bình. Nếu các số gần trung bình, phương sai thấp; nếu phân tán xa, phương sai cao. Giống như đo lường sự khác biệt điểm thi của mọi người so với điểm trung bình lớp. Phương sai có điều kiện tương tự, nhưng xem xét sự thay đổi của một biến khi biết điều gì đó khác về nó. Ví dụ, đo lường sự biến thiên chiều cao dựa trên độ tuổi; phương sai có điều kiện cho biết sự biến thiên chiều cao trong một nhóm tuổi cụ thể, sử dụng kiến thức về tuổi để tập trung vào biến thiên trong nhóm đó."
7,"Giải thích các khái niệm Trung bình (Mean), Trung vị (Median), Mốt (Mode) và Độ lệch chuẩn (Standard Deviation).","Trung bình (Mean): Là giá trị trung tâm của tập số, tính bằng tổng các số chia cho số lượng. Nó đại diện cho dữ liệu tổng thể. Trung vị (Median): Là số ở giữa khi sắp xếp dữ liệu từ nhỏ đến lớn. Nếu số lượng chẵn, lấy trung bình hai số giữa. Trung vị không bị ảnh hưởng bởi giá trị cực đoan, tốt hơn cho trung tâm khi có ngoại lai. Mốt (Mode): Là số xuất hiện thường xuyên nhất. Có thể có một, nhiều hoặc không có mốt. Độ lệch chuẩn (Standard Deviation): Đo lường mức độ phân tán của số so với trung bình. Nếu gần trung bình, độ lệch chuẩn nhỏ; nếu phân tán, lớn. Nó cho thấy sự biến thiên hoặc ""phân tán"" trong dữ liệu."
8,Phân phối chuẩn (Normal Distribution) và Phân phối chuẩn chuẩn hóa (Standard Normal Distribution) là gì?,"Phân phối chuẩn: Là đường cong hình chuông, hầu hết dữ liệu gần trung bình (mean), càng xa mean càng ít dữ liệu. Thường thấy trong tự nhiên như chiều cao hoặc điểm thi. Phân phối chuẩn chuẩn hóa: Là loại phân phối chuẩn đặc biệt với mean = 0 và độ lệch chuẩn = 1. Giúp so sánh giữa các tập dữ liệu dễ dàng hơn vì dữ liệu được chuẩn hóa."
9,Sự khác biệt giữa tương quan (correlation) và nhân quả (causation) là gì?,"Tương quan nghĩa là hai thứ liên quan hoặc xảy ra cùng lúc, nhưng một không nhất thiết gây ra cái kia. Ví dụ, ăn kem nhiều hơn vào mùa hè và bơi lội nhiều hơn, có tương quan nhưng ăn kem không gây bơi lội. Nhân quả nghĩa là một thứ trực tiếp gây ra cái kia. Ví dụ, học nhiều hơn dẫn đến điểm cao hơn. Để chứng minh nhân quả, cần bằng chứng từ thí nghiệm."
10,"Phân phối đều (Uniform), Bernoulli và Nhị thức (Binomial) là gì và chúng khác nhau như thế nào?","Phân phối đều (Uniform Distribution): Mọi kết quả có xác suất bằng nhau. Ví dụ, tung xúc xắc công bằng, mỗi số 1-6 có xác suất như nhau, đồ thị là đường thẳng phẳng. Phân phối Bernoulli: Dùng cho hai kết quả có thể, thành công hoặc thất bại. Ví dụ, tung đồng xu: heads (thành công) hoặc tails (thất bại). Phân phối nhị thức (Binomial): Áp dụng cho số lượng thử độc lập cố định, mỗi thử có hai kết quả. Tính xác suất số thành công cụ thể, ví dụ tung đồng xu 5 lần, xác suất đúng 3 heads."
