STT,Câu hỏi (theo nguồn),Trả lời
1,1. DevOps là gì?,"DevOps là một phương pháp phát triển phần mềm kết hợp Phát triển (Dev) và Vận hành IT (Ops) để tự động hóa và tinh giản quy trình phát triển, kiểm thử, triển khai và bảo trì phần mềm. Phương pháp này tập trung vào sự hợp tác, tự động hóa và cải tiến liên tục, cho phép các doanh nghiệp cung cấp phần mềm nhanh hơn, hiệu quả hơn và ít lỗi hơn. DevOps tích hợp Tích hợp Liên tục/Triển khai Liên tục (CI/CD), Hạ tầng dưới dạng Mã (IaC), giám sát và tự động hóa để đảm bảo phần mềm được xây dựng, kiểm thử và phát hành một cách liền mạch."
2,2. Kỹ sư DevOps là gì?,"Một Kỹ sư DevOps là một chuyên gia kết hợp kỹ năng phát triển phần mềm (Dev) và vận hành IT (Ops) để cải thiện và tinh giản quy trình phát triển, kiểm thử và phát hành phần mềm. Mục tiêu của họ là đảm bảo phần mềm được cung cấp nhanh chóng, hiệu quả và đáng tin cậy. Họ làm việc để tự động hóa và tích hợp các quy trình giữa các nhóm phát triển phần mềm và IT, cho phép phân phối liên tục và tích hợp liên tục phần mềm."
3,3. Các ngôn ngữ lập trình và scripting hàng đầu quan trọng cần học để trở thành Kỹ sư DevOps là gì?,"Để trở thành một Kỹ sư DevOps thành công, việc học cả ngôn ngữ lập trình và scripting là rất cần thiết. Các ngôn ngữ bạn nên học bao gồm: <br> * Ngôn ngữ lập trình: Golang, Java, Ruby. <br> * Scripting: Bash, Python, Groovy, Powershell."
4,4. SSH dùng để làm gì?,"SSH (Secure Shell) là một giao thức mạng mật mã được sử dụng để kết nối và truyền thông tin an toàn giữa hai hệ thống qua một mạng không an toàn. Nó cung cấp truyền thông mã hóa, đảm bảo rằng dữ liệu như mật khẩu và lệnh không bị kẻ tấn công chặn bắt. Với SSH, người dùng có thể: <br> * Đăng nhập từ xa: Truy cập và kiểm soát máy chủ an toàn từ bất cứ đâu. <br> * Truyền file an toàn: Di chuyển các file an toàn bằng các công cụ như scp hoặc sftp. <br> * Chuyển tiếp cổng & Tạo đường hầm: Chuyển tiếp cổng hoặc tạo các đường hầm được mã hóa một cách an toàn cho các ứng dụng khác. <br> * Tự động hóa: Sử dụng khóa SSH để đăng nhập mà không cần gõ mật khẩu, cho phép các script và công cụ cấu hình (như Ansible) hoạt động liền mạch."
5,5. CI/CD là gì?,"CI và CD là thực hành tự động hóa việc tích hợp các thay đổi mã từ nhiều nhà phát triển vào một cơ sở mã duy nhất. Đây là một phương pháp phát triển phần mềm nơi các nhà phát triển thường xuyên commit công việc của họ vào kho lưu trữ mã trung tâm (như Github hoặc Stash). <br> * Tích hợp Liên tục (Continuous Integration): Với CI, các nhà phát triển thường xuyên commit vào một kho lưu trữ chung bằng hệ thống kiểm soát phiên bản như Git. Một pipeline tích hợp liên tục có thể tự động chạy các bản dựng, lưu trữ các artifact, chạy kiểm thử đơn vị và thậm chí thực hiện đánh giá mã bằng các công cụ như Sonar. <br> * Phân phối Liên tục (Continuous Delivery): CD giúp các nhà phát triển kiểm thử mã của họ trong một môi trường tương tự sản xuất, do đó ngăn chặn bất kỳ bất ngờ nào vào phút chót hoặc sau sản xuất. Các kiểm thử này có thể bao gồm kiểm thử giao diện người dùng, kiểm thử tải, kiểm thử tích hợp, v.v. Nó giúp các nhà phát triển phát hiện và giải quyết lỗi sớm."
6,6. Sự khác biệt giữa Mở rộng Ngang và Mở rộng Dọc là gì?,"Chúng ta sẽ thảo luận về sự khác biệt giữa mở rộng ngang (Horizontal Scaling) và mở rộng dọc (Vertical Scaling) lần lượt: <br> Mở rộng Ngang (Horizontal Scaling): có nghĩa là thêm nhiều máy hoặc máy chủ hơn để xử lý tải. Thay vì làm cho một máy chủ mạnh hơn, bạn sử dụng nhiều máy chủ để chia sẻ công việc. <br> * Điều này giống như việc mở thêm quầy thanh toán tại một cửa hàng tạp hóa để phục vụ nhiều khách hàng cùng một lúc. Phương pháp này rất tốt để xử lý một số lượng lớn người dùng hoặc lưu lượng truy cập vì bạn có thể tiếp tục thêm máy chủ khi cần. <br> * Nó cũng cung cấp độ tin cậy tốt hơn – nếu một máy chủ gặp sự cố, các máy chủ khác vẫn có thể duy trì hoạt động. Tuy nhiên, việc thiết lập và quản lý nhiều máy chủ có thể phức tạp hơn và có thể yêu cầu các công cụ như bộ cân bằng tải để phân phối lưu lượng truy cập đều. <br> Mở rộng Dọc (Vertical Scaling): có nghĩa là làm cho một máy duy nhất mạnh hơn. Bạn làm điều này bằng cách thêm nhiều bộ nhớ (RAM), bộ xử lý nhanh hơn (CPU) hoặc dung lượng lưu trữ lớn hơn vào một máy chủ. <br> * Điều này giống như việc nâng cấp máy tính cá nhân của bạn để làm cho nó chạy nhanh hơn – bạn không thay đổi máy tính, chỉ cải thiện các bộ phận của nó. Phương pháp này dễ thiết lập và quản lý vì bạn chỉ làm việc với một máy. Nó hoạt động tốt cho các ứng dụng nhỏ hơn hoặc các hệ thống có lưu lượng truy cập ổn định. <br> * Tuy nhiên, có một giới hạn về mức độ bạn có thể nâng cấp một máy. Ngoài ra, trong quá trình nâng cấp, bạn có thể cần khởi động lại máy chủ, điều này có thể gây ra thời gian ngừng hoạt động ngắn."
7,7. Mô hình triển khai Blue/Green là gì?,"Triển khai Blue/Green là việc triển khai hai phiên bản ứng dụng của chúng ta, một phiên bản là phiên bản ổn định (Blue) đang được sử dụng làm sản xuất, và một phiên bản khác là tính năng mới hoặc sửa lỗi (Green). Chúng ta chuyển một tỷ lệ phần trăm lưu lượng truy cập nhất định đến phiên bản thứ hai (Green) trong môi trường sản xuất để đảm bảo mọi thứ hoạt động tốt. <br> * Triển khai Blue: Đây là bản triển khai chính, ổn định và đang được sử dụng trong sản xuất. <br> * Triển khai Green: Đây là một phiên bản ""nhân bản"" nhưng có các thay đổi bổ sung. Chúng ta có thể định tuyến lưu lượng truy cập đến bản triển khai Green để nếu có bất kỳ vấn đề nào trong bản triển khai, chúng ta có thể khắc phục và sau đó đẩy nó thành Blue, giảm thiểu khả năng thất bại trong môi trường sản xuất."
8,8. Sự khác biệt giữa DevOps & Agile là gì?,<br> <br>
9,9. Quy trình kiểm thử liên tục là gì?,Kiểm thử liên tục (Continuous testing) là một quy trình kiểm thử tự động được thực hiện liên tục trên phần mềm ngay sau khi một phần mã được các nhà phát triển cung cấp. Việc kiểm thử này được thực hiện ở mọi giai đoạn bắt đầu từ các giai đoạn phát triển ban đầu cho đến khi triển khai phần mềm.
10,10. Vai trò của AWS trong DevOps là gì?,"AWS là một cường quốc DevOps, cung cấp khả năng tự động hóa CI/CD, hạ tầng dưới dạng mã (IaC), điều phối container, giám sát và bảo mật để tinh giản quá trình phát triển và triển khai phần mềm. <br> * Các dịch vụ chính như AWS CodePipeline, CodeBuild và CodeDeploy tự động hóa các quy trình CI/CD, trong khi CloudFormation và Terraform cho phép cấp phát hạ tầng liền mạch. <br> * Amazon ECS, EKS và Fargate quản lý các ứng dụng container hóa, và CloudWatch, X-Ray và CloudTrail đảm bảo giám sát và bảo mật theo thời gian thực. <br> * Với Auto Scaling, ELB và AWS Lambda, AWS nâng cao khả năng mở rộng, tính sẵn sàng cao và điện toán phi máy chủ. <br> * Sự tích hợp của nó với Jenkins, GitHub và Terraform làm cho nó trở thành một giải pháp hiệu quả về chi phí, hiệu suất cao cho DevOps đám mây, đảm bảo triển khai nhanh hơn, quy trình làm việc được tối ưu hóa và hạ tầng đám mây an toàn."
