STT,Câu hỏi,Trả lời
1,HTML là gì?,"HTML là viết tắt của Hyper Text Markup Language. Đây là một ngôn ngữ đánh dấu bao gồm các thẻ khác nhau. Nó được sử dụng để định nghĩa cấu trúc của các trang web. HTML là khối xây dựng cơ bản của trang web, được dùng để hiển thị văn bản, hình ảnh và các nội dung khác."
2,Các phần tử ngữ nghĩa trong HTML là gì?,"Các phần tử ngữ nghĩa trong HTML là các phần tử chứa ý nghĩa của nội dung và cấu trúc của tài liệu HTML. Các phần tử này chứa nội dung liên quan đến tên của chúng hoặc phản ánh tên của chúng. Một số ví dụ về các phần tử HTML ngữ nghĩa được liệt kê dưới đây: Header, Main, Section, Article, Aside, Footer, v.v.."
3,Phân biệt giữa các phần tử Inline và Block trong HTML.,"Phần tử Inline: Không bắt đầu trên một dòng mới. Chỉ chiếm chiều rộng cần thiết. Không thể chứa các phần tử block. Chiều cao và chiều rộng thường không điều chỉnh được. Ví dụ: <span>, <a>, <strong>, <em>. Phần tử Block: Luôn bắt đầu trên một dòng mới. Chiếm toàn bộ chiều rộng có sẵn. Có thể chứa cả phần tử inline và block. Chiều cao và chiều rộng có thể thiết lập tự do. Ví dụ: <div>, <p>, <h1>."
4,Danh sách trong HTML là gì? Giải thích các loại danh sách khác nhau có sẵn trong HTML.,"Trong HTML, danh sách được sử dụng để biểu thị một tập hợp các mục khác nhau. Có ba loại danh sách có sẵn trong HTML: 1. Unordered List (Danh sách không có thứ tự): Được định nghĩa bằng các thẻ <ul> và <li>. Theo mặc định, nó biểu thị các mục bằng dấu chấm tròn. 2. Ordered List (Danh sách có thứ tự): Được định nghĩa bằng các thẻ <ol> và <li>. Theo mặc định, nó biểu thị danh sách các mục bằng chữ số. 3. Definition List (Danh sách định nghĩa): Là một loại danh sách đặc biệt được sử dụng để liệt kê các thuật ngữ với định nghĩa của chúng một cách có cấu trúc. Nó được định nghĩa bằng các thẻ <dl> (danh sách định nghĩa), <dt> (thuật ngữ định nghĩa) và <dd> (mô tả định nghĩa)."
5,Sự khác biệt giữa <div> và <span> là gì?,Thẻ <div>: Là một phần tử cấp khối (block-level element). Nó có thể được sử dụng để nhóm và cấu trúc nội dung của trang web. Nó đại diện cho một phần lớn hơn của trang web. Nó bắt đầu từ một dòng mới và chiếm toàn bộ chiều rộng có sẵn. Thẻ <span>: Là một phần tử nội tuyến (inline element). Nó chủ yếu được sử dụng để tương tác và tạo kiểu cho một phần cụ thể của trang web. Nó được sử dụng để nhắm mục tiêu các phần nhỏ của trang web. Nó không bắt đầu từ một dòng mới và chỉ chiếm chiều rộng cần thiết theo nội dung.
6,Khai báo DOCTYPE là gì?,"Trong HTML, khai báo DOCTYPE còn được gọi là khai báo kiểu tài liệu. Nó định nghĩa kiểu tài liệu và cho trình duyệt biết tài liệu được viết bằng phiên bản HTML nào."
7,Mục đích của thẻ <iframe> là gì?,"Thẻ <iframe> được sử dụng để nhúng các tài liệu hoặc trang web bên ngoài vào trong tài liệu hiện tại bằng cách chỉ định liên kết của chúng bên trong nó. Nó chủ yếu được sử dụng để nhúng video, bản đồ và các nội dung bên ngoài khác."
8,Sự khác biệt giữa thẻ <b> và <strong> trong HTML là gì?,Cả thẻ <b> và <strong> đều được sử dụng để làm cho văn bản in đậm. Thẻ <b> được sử dụng khi chúng ta chỉ muốn làm nổi bật văn bản. Thẻ <strong> được sử dụng khi chúng ta muốn chỉ ra tầm quan trọng của văn bản.
9,Thẻ meta trong HTML là gì?,"Trong HTML, thẻ meta được sử dụng để định nghĩa siêu dữ liệu (metadata) về tài liệu HTML, bao gồm bộ ký tự, mô tả, từ khóa, tác giả và cài đặt khung nhìn. Chúng được đặt bên trong phần tử <head>."
10,Giải thích các thẻ trong HTML.,"Các thẻ HTML được sử dụng để định nghĩa các phần tử trên trang web. Chúng là các từ khóa được đặt trong dấu ngoặc nhọn (<>). Các ví dụ về thẻ HTML là <div>, <p>, <a>, <span>, <img>, v.v.."
