STT,Câu hỏi,Trả lời
1,MERN Stack là gì?,"MERN Stack là một JavaScript Stack được sử dụng để triển khai các ứng dụng web full-stack dễ dàng và nhanh chóng hơn. Nó bao gồm 4 công nghệ: MongoDB, Express, React và NodeJS, được thiết kế để làm cho quá trình phát triển mượt mà và dễ dàng hơn. Cụ thể: MongoDB: Cơ sở dữ liệu phi quan hệ (NoSQL).Express: Web server của NodeJS.React: Thư viện giao diện người dùng JavaScript ở phía frontend.Node: Web server JavaScript ở phía backend."
2,MERN Stack hoạt động như thế nào?,"MERN stack là một framework phát triển web dựa trên JavaScript phổ biến để xây dựng các ứng dụng web hiện đại, bao gồm bốn công nghệ chính hoạt động cùng nhau: MongoDB (Cơ sở dữ liệu): Là cơ sở dữ liệu tài liệu NoSQL dùng để lưu trữ dữ liệu của ứng dụng, linh hoạt và có khả năng mở rộng, lý tưởng để xử lý lượng lớn thông tin.ExpressJS (Framework backend): Là một framework ứng dụng web NodeJS cung cấp các công cụ để tạo API và xử lý các yêu cầu HTTP, hoạt động như logic phía máy chủ của ứng dụng.React (Thư viện frontend): Là một thư viện JavaScript để xây dựng giao diện người dùng (UIs), được sử dụng để tạo các thành phần giao diện động và tương tác mà người dùng tương tác.NodeJS (Môi trường runtime backend): Là môi trường runtime JavaScript cho phép bạn chạy mã JavaScript trên máy chủ, đây là công nghệ cung cấp năng lượng cho backend (ExpressJS) của ứng dụng."
3,DNS là gì?,"DNS là một hệ thống đặt tên phân cấp và phân tán giúp dịch các tên miền thành địa chỉ IP. Khi bạn nhập một tên miền như www.geeksforgeeks.org vào trình duyệt, DNS đảm bảo yêu cầu đến đúng máy chủ bằng cách phân giải tên miền thành địa chỉ IP tương ứng. Không có DNS, chúng ta sẽ phải nhớ địa chỉ IP số của mọi trang web muốn truy cập, điều này rất không thực tế."
4,DNS hoạt động như thế nào?,"DNS hoạt động qua các bước sau: Người dùng nhập liệu: Bạn nhập địa chỉ trang web (ví dụ: www.geeksforgeeks.org) vào trình duyệt web của mình.Kiểm tra bộ nhớ cache cục bộ: Trình duyệt của bạn trước tiên kiểm tra bộ nhớ cache cục bộ để xem liệu nó có tra cứu tên miền đó gần đây không. Nếu tìm thấy địa chỉ IP tương ứng, nó sẽ sử dụng trực tiếp mà không cần truy vấn máy chủ bên ngoài.Truy vấn bộ phân giải DNS: Nếu địa chỉ IP không có trong bộ nhớ cache cục bộ, máy tính của bạn sẽ gửi yêu cầu đến một bộ phân giải DNS. Bộ phân giải này thường được nhà cung cấp dịch vụ Internet (ISP) của bạn cung cấp.Máy chủ DNS gốc: Bộ phân giải gửi yêu cầu đến một máy chủ DNS gốc. Máy chủ gốc không biết địa chỉ IP chính xác cho www.geeksforgeeks.org nhưng biết máy chủ TLD (Top-Level Domain) nào cần truy vấn dựa trên phần mở rộng của tên miền (ví dụ: .org).Máy chủ TLD: Máy chủ TLD cho .org hướng bộ phân giải đến máy chủ DNS có thẩm quyền (authoritative DNS server) cho geeksforgeeks.org.Máy chủ DNS có thẩm quyền: Máy chủ này lưu giữ các bản ghi DNS thực tế cho geeksforgeeks.org, bao gồm địa chỉ IP của máy chủ trang web. Nó gửi địa chỉ IP này trở lại bộ phân giải.Phản hồi cuối cùng: Bộ phân giải DNS gửi địa chỉ IP đến máy tính của bạn, cho phép nó kết nối với máy chủ của trang web và tải trang."
5,Sự khác biệt giữa HTTP và HTTPS là gì?,"HTTP (HyperText Transfer Protocol): URL bắt đầu bằng ""http://"", sử dụng cổng 80 để giao tiếp. Dữ liệu trao đổi dưới dạng văn bản thuần túy, không an toàn và tốc độ nhanh hơn HTTPS.HTTPS (HyperText Transfer Protocol Secure): URL bắt đầu bằng ""https://"", sử dụng cổng 443 để giao tiếp. Sử dụng mã hóa để bảo mật tốt hơn, nhưng tốc độ chậm hơn HTTP do cần trao đổi khóa mã hóa bằng Chứng chỉ trước khi truyền dữ liệu."
6,Sự khác biệt giữa phiên bản HTML trước và HTML 5 là gì?,"Trước HTML5: Không hỗ trợ âm thanh và video mà không cần Flash player. Sử dụng cookies để lưu trữ dữ liệu tạm thời. Không cho phép JavaScript chạy trong trình duyệt. Đồ họa vector yêu cầu các công nghệ như VML, Silver-light, Flash. Không cho phép hiệu ứng kéo và thả.HTML5: Hỗ trợ điều khiển âm thanh và video bằng thẻ <audio> và <video>. Bổ sung Local Storage và Session Storage. Cho phép JavaScript chạy ở chế độ nền nhờ API Web worker. Đồ họa vector là một phần không thể thiếu của HTML5 (SVG và canvas). Cho phép hiệu ứng kéo và thả và hỗ trợ thuộc tính target blank."
7,Sự khác biệt giữa HTML và XHTML?,HTML (Hypertext Markup Language): Được phát triển bởi Tim Berners-Lee vào năm 1991. Được mở rộng từ SGML. Định dạng là một tệp tài liệu. Không nhất thiết phải viết tất cả các thẻ và thuộc tính bằng chữ thường hoặc chữ hoa.XHTML (Extensible Hypertext Markup Language): Được phát triển bởi W3C vào năm 2000. Được mở rộng từ XML và HTML. Định dạng là một ngôn ngữ đánh dấu. Mọi thẻ và thuộc tính đều phải được viết bằng chữ thường.
8,Giải thích sự khác biệt giữa lập trình client-side và server-side?,"Client-side và server-side là hai phần riêng biệt của một ứng dụng web, hoạt động cùng nhau để cung cấp chức năng cho người dùng. Client-Side (Phía máy khách): Chạy trong trình duyệt của người dùng, xử lý giao diện người dùng và tương tác. Đặc điểm chính: Thực thi mã JavaScript trực tiếp trong trình duyệt (ví dụ: xác thực biểu mẫu, hoạt ảnh, cập nhật nội dung động qua DOM). Quản lý hiển thị HTML và CSS. Thường giao tiếp với máy chủ qua REST APIs để lấy hoặc gửi dữ liệu bất đồng bộ. Ví dụ: Nhấp vào nút kích hoạt hàm JavaScript để hiển thị popup. Lấy thêm mục trên trang bằng fetch() hoặc axios mà không cần tải lại toàn bộ trang.Server-Side (Phía máy chủ): Hoạt động trên máy chủ và xử lý các yêu cầu từ phía máy khách, thực hiện các tác vụ như truy vấn cơ sở dữ liệu, logic nghiệp vụ và phục vụ phản hồi. Đặc điểm chính: Thực thi các ngôn ngữ lập trình phía máy chủ như Python, Java hoặc Node.js. Xử lý các hoạt động nhạy cảm như xác thực và lưu trữ dữ liệu một cách an toàn. Gửi dữ liệu cho phía máy khách dưới các định dạng có cấu trúc (ví dụ: JSON) qua REST APIs để hiển thị. Ví dụ: Xử lý yêu cầu đăng nhập bằng cách xác minh thông tin đăng nhập trong cơ sở dữ liệu. Trả về danh sách sản phẩm dưới định dạng JSON để phía máy khách hiển thị động."
9,CORS (Cross-Origin Resource Sharing) có nghĩa là gì?,"CORS đề cập đến việc chia sẻ tài nguyên giữa các nguồn gốc khác nhau (cross-origin resource sharing). Đây là một cơ chế trình duyệt cho phép các trang web trong một miền có quyền truy cập được kiểm soát vào các tài nguyên trong các miền khác (yêu cầu cross-domain). Điều này mở rộng và cung cấp sự linh hoạt hơn cho SOP (Same-Origin Policy), vốn hạn chế khả năng của một trang web truy cập tài nguyên bên ngoài miền nguồn của nó. Ví dụ, một ứng dụng JavaScript muốn gọi một API chạy trên miền khác sẽ bị chặn do SOP; chính sách CORS được triển khai để khắc phục các hạn chế này."
10,Giải thích event loop trong Node.js.,"Event loop trong Node.js là một cơ chế cho phép xử lý các tác vụ bất đồng bộ một cách hiệu quả mà không chặn việc thực thi các hoạt động khác. Nó: Thực thi JavaScript đồng bộ trước và sau đó xử lý các hoạt động bất đồng bộ.Ủy quyền các tác vụ nặng như hoạt động I/O, bộ hẹn giờ và yêu cầu mạng cho thư viện libuv.Đảm bảo việc thực thi mượt mà nhiều hoạt động bằng cách xếp hàng và lập lịch các callback một cách hiệu quả. Do đó, khi một hàm bất đồng bộ (hoặc một I/O) cần được thực thi, luồng chính sẽ chuyển nó sang một luồng khác, cho phép v8 (công cụ Javascript) tiếp tục xử lý hoặc chạy mã của nó. Trong event loop, có các giai đoạn khác nhau, như pending callbacks, closing callbacks, timers, idle hoặc preparing, polling và checking, với các hàng đợi FIFO (First-In-First-Out) khác nhau."
