STT,Câu hỏi,Trả lời
1,1. Sự khác biệt giữa == và === trong JavaScript là gì?,"Trong JavaScript, == là toán tử so sánh lỏng (loose equality), so sánh hai giá trị bằng nhau sau khi thực hiện ép kiểu nếu cần. Điều này có nghĩa là nó chuyển đổi các toán hạng sang cùng kiểu trước khi so sánh. === là toán tử so sánh nghiêm ngặt (strict equality), so sánh cả giá trị và kiểu dữ liệu mà không thực hiện chuyển đổi kiểu."
2,"2. Kết quả của biểu thức 3+2+""7"" sẽ là gì?","Kết quả: 3 + 2 được đánh giá trước, và vì cả hai là số, kết quả là 5. Sau đó, 5 + ""7"" được tính. Vì một trong các toán hạng là chuỗi (""7""), JavaScript chuyển đổi số 5 thành chuỗi và nối nó với ""7"", dẫn đến ""57""."
3,3. Những gì mới trong ECMAScript 2025 (ES2025)?,"ECMAScript 2025 (ES2025) Các tính năng chính: Promise.withResolvers() → Trả về một promise với resolve và reject của nó, đơn giản hóa kiểm soát bất đồng bộ. Các phương thức mảng bất biến → Các phương thức mới như findLast(), toReversed() và toSorted() trả về mảng mới thay vì thay đổi mảng gốc. Cờ v cho RegExp → Thêm xử lý Unicode tốt hơn trong biểu thức chính quy. Ngữ pháp Hashbang → Chính thức cho phép #! ở đầu file JS cho các script CLI."
4,4. JavaScript được biên dịch hay diễn giải?,"JavaScript chủ yếu được diễn giải, nhưng các trình duyệt hiện đại cũng biên dịch nó theo thời gian thực (JIT) để tăng tốc độ. Trình duyệt đọc mã JavaScript của bạn từng dòng và chạy trực tiếp. Các trình duyệt hiện đại (như engine V8 của Chrome) trước tiên dịch các phần mã của bạn thành mã máy trong khi chạy, để máy tính có thể thực thi nhanh hơn."
5,5. JavaScript và Java có liên quan không?,"Không, mặc dù tên nghe tương tự nhưng chúng không liên quan dưới bất kỳ khía cạnh nào, dưới đây là một số khác biệt chính:"
6,6. Có bao nhiêu cách để truy cập một phần tử HTML trong mã JavaScript?,Có bốn cách có thể để truy cập phần tử HTML trong JavaScript: Phương thức getElementById(): Dùng để lấy phần tử theo tên id. Phương thức getElementsByClass(): Dùng để lấy tất cả các phần tử có tên lớp đã cho. Phương thức getElementsByTagName(): Dùng để lấy tất cả các phần tử có tên thẻ đã cho. Phương thức querySelector(): Hàm này lấy bộ chọn kiểu CSS và trả về phần tử được chọn đầu tiên.
7,7. Sự khác biệt về giá trị trả về giữa x++ và ++x là gì?,"Cả hai đều tăng giá trị, nhưng trả về giá trị khác nhau. x++: hậu tăng → trả về giá trị cũ, sau đó tăng. ++x: tiền tăng → tăng trước, sau đó trả về giá trị mới."
8,"8. Sự khác biệt giữa var, let và const là gì và Temporal Dead Zone là gì?","JavaScript cung cấp ba cách để khai báo biến: var, let và const, nhưng chúng khác nhau về phạm vi, hành vi hoisting và quy tắc gán lại. var: Khai báo biến với phạm vi hàm hoặc toàn cục và cho phép khai báo lại và cập nhật trong cùng phạm vi. let: Khai báo biến với phạm vi khối, cho phép cập nhật nhưng không cho phép khai báo lại trong cùng khối. const: Khai báo biến phạm vi khối không thể gán lại sau khi gán ban đầu. Temporal Dead Zone (TDZ): Là khoảng thời gian giữa việc vào phạm vi và điểm mà biến let hoặc const được khai báo. Trong thời gian này, truy cập biến gây lỗi ReferenceError, vì biến tồn tại nhưng chưa được khởi tạo."
9,9. Phạm vi biến (Variable Scope) trong JavaScript là gì?,"Trong JavaScript, mỗi biến được truy cập và sửa đổi qua một trong các phạm vi sau: Phạm vi toàn cục: Mức ngoài cùng (có thể truy cập mọi nơi). Phạm vi cục bộ: Các hàm con có thể truy cập biến từ hàm cha do phạm vi từ vựng. Phạm vi hàm: Biến bị giới hạn trong hàm chúng được khai báo. Phạm vi khối: Biến khai báo với let hoặc const bị giới hạn trong khối gần nhất (vòng lặp, điều kiện, v.v.)."
10,10. Sự khác biệt giữa phạm vi từ vựng (Lexical Scoping) và phạm vi động (Dynamic Scoping) là gì?,"Phạm vi từ vựng (Lexical Scoping - Phạm vi tĩnh): Phạm vi của biến được xác định bởi vị trí của nó trong mã nguồn tại thời điểm viết. JavaScript sử dụng phạm vi từ vựng. Hàm con tra cứu biến trong hàm ngoài nơi nó được định nghĩa, không phải nơi nó được gọi. Phạm vi động (Không có trong JS): Phạm vi được xác định bởi ngăn xếp gọi tại thời gian chạy, không phải nơi hàm được viết. Các ngôn ngữ như phiên bản Lisp cũ hoặc Bash sử dụng phạm vi động. Hàm sử dụng biến từ hàm gọi nó, ngay cả nếu được định nghĩa ở nơi khác."
