STT,Câu hỏi,Trả lời
1,Xử lý Ngôn ngữ Tự nhiên (NLP) là gì?,"Xử lý Ngôn ngữ Tự nhiên (NLP) là một lĩnh vực của trí tuệ nhân tạo tập trung vào việc cho phép máy tính hiểu, diễn giải và tạo ra ngôn ngữ con người một cách tự nhiên. Nó liên quan đến các kỹ thuật để xử lý văn bản, giọng nói và dữ liệu ngôn ngữ khác, bao gồm các nhiệm vụ như phân tích cảm xúc, dịch máy, nhận dạng giọng nói và tạo văn bản."
2,Các thành phần chính của pipeline NLP là gì?,"Pipeline NLP bao gồm các bước: Tiền xử lý văn bản (loại bỏ nhiễu, chuẩn hóa), Tokenization (phân tách văn bản thành từ hoặc cụm từ), Lemmatization/Stemming (chuẩn hóa từ về dạng gốc), Xóa từ dừng (loại bỏ từ phổ biến như ""là"", ""của""), Nhúng từ (biểu diễn từ thành vector), Phân tích cú pháp (phân tích cấu trúc câu), và Mô hình hóa (áp dụng mô hình học máy hoặc học sâu để xử lý nhiệm vụ cụ thể)."
3,Tokenization là gì trong NLP?,"Tokenization là quá trình chia văn bản thành các đơn vị nhỏ hơn, như từ, cụm từ hoặc ký hiệu, được gọi là token. Đây là bước đầu tiên trong pipeline NLP, giúp chuẩn bị dữ liệu cho các nhiệm vụ phân tích hoặc mô hình hóa tiếp theo."
4,Sự khác biệt giữa stemming và lemmatization là gì?,"Stemming cắt bỏ hậu tố để đưa từ về dạng gốc (ví dụ: ""running"" thành ""run""), thường đơn giản và nhanh nhưng có thể không chính xác. Lemmatization phân tích từ dựa trên ngữ cảnh và từ điển để trả về dạng gốc chính xác (ví dụ: ""better"" thành ""good""), chính xác hơn nhưng tốn tài nguyên hơn."
5,Nhúng từ (Word Embeddings) là gì?,"Nhúng từ là kỹ thuật biểu diễn từ dưới dạng vector số trong không gian nhiều chiều, nắm bắt ý nghĩa ngữ nghĩa và mối quan hệ giữa các từ. Ví dụ: Word2Vec, GloVe, và FastText. Các vector này được sử dụng trong các mô hình NLP để cải thiện hiệu suất nhiệm vụ như phân loại văn bản hoặc dịch máy."
6,Word2Vec hoạt động như thế nào?,"Word2Vec là mô hình nhúng từ sử dụng mạng nơ-ron để học biểu diễn vector của từ dựa trên ngữ cảnh. Có hai kiến trúc: CBOW (Continuous Bag of Words) dự đoán từ mục tiêu từ ngữ cảnh xung quanh, và Skip-gram dự đoán ngữ cảnh từ từ mục tiêu. Nó tối ưu hóa để nắm bắt mối quan hệ ngữ nghĩa."
7,Sự khác biệt giữa mô hình Bag of Words (BoW) và TF-IDF là gì?,"Bag of Words (BoW) biểu diễn văn bản dưới dạng tập hợp từ không quan tâm thứ tự, chỉ đếm tần suất từ. TF-IDF (Term Frequency-Inverse Document Frequency) cũng đếm tần suất nhưng điều chỉnh trọng số dựa trên mức độ hiếm của từ trong tập tài liệu, làm nổi bật các từ quan trọng hơn."
8,Mô hình Transformer là gì?,"Transformer là một kiến trúc mạng nơ-ron dựa trên cơ chế chú ý (attention mechanism), được giới thiệu trong bài báo ""Attention is All You Need"". Nó hiệu quả trong việc nắm bắt phụ thuộc dài hạn trong chuỗi, được sử dụng rộng rãi trong các nhiệm vụ NLP như dịch máy, tóm tắt văn bản và tạo văn bản."
9,Cơ chế chú ý (Attention Mechanism) là gì?,"Cơ chế chú ý cho phép mô hình tập trung vào các phần quan trọng của dữ liệu đầu vào khi xử lý một nhiệm vụ. Nó gán trọng số cho các thành phần đầu vào dựa trên mức độ liên quan, giúp cải thiện hiệu suất trong các nhiệm vụ như dịch máy hoặc phân tích cảm xúc."
10,BERT là gì và nó hoạt động như thế nào?,"BERT (Bidirectional Encoder Representations from Transformers) là mô hình Transformer hai chiều học biểu diễn từ bằng cách xem xét ngữ cảnh từ cả hai phía (trái và phải). Nó được huấn luyện trước trên nhiệm vụ dự đoán từ bị che (Masked Language Model) và dự đoán câu tiếp theo, sau đó được tinh chỉnh cho các nhiệm vụ NLP cụ thể."
11,"Sự khác biệt giữa RNN, LSTM và GRU là gì?","RNN (Recurrent Neural Network) xử lý chuỗi tuần tự nhưng dễ gặp vấn đề gradient biến mất. LSTM (Long Short-Term Memory) cải tiến bằng cách sử dụng cổng (gate) để kiểm soát dòng thông tin, giữ được phụ thuộc dài hạn. GRU (Gated Recurrent Unit) là phiên bản đơn giản hóa của LSTM, nhanh hơn nhưng vẫn hiệu quả trong việc nắm bắt phụ thuộc dài."
12,Phân tích cảm xúc (Sentiment Analysis) là gì?,"Phân tích cảm xúc là nhiệm vụ NLP xác định cảm xúc hoặc ý kiến trong văn bản, ví dụ: tích cực, tiêu cực hoặc trung lập. Nó thường được sử dụng trong phân tích đánh giá sản phẩm, phản hồi khách hàng hoặc mạng xã hội."
13,Nhận dạng thực thể có tên (NER) là gì?,"Nhận dạng thực thể có tên (NER) là nhiệm vụ NLP xác định và phân loại các thực thể như tên người, tổ chức, địa điểm trong văn bản. Ví dụ: Trong câu ""Apple ra mắt iPhone mới tại California"", NER sẽ nhận diện ""Apple"" (tổ chức), ""iPhone"" (sản phẩm), ""California"" (địa điểm)."
14,Dịch máy (Machine Translation) là gì?,"Dịch máy là nhiệm vụ NLP tự động dịch văn bản từ ngôn ngữ này sang ngôn ngữ khác, ví dụ: từ tiếng Anh sang tiếng Việt. Các mô hình như Transformer và các dịch vụ như Google Translate sử dụng kỹ thuật này."
15,Tóm tắt văn bản (Text Summarization) là gì?,"Tóm tắt văn bản là quá trình tạo ra bản tóm tắt ngắn gọn, giữ lại ý chính của văn bản dài. Có hai loại: tóm tắt trích xuất (extractive) chọn câu quan trọng, và tóm tắt trừu tượng (abstractive) tạo câu mới dựa trên nội dung."
16,Các thách thức trong NLP là gì?,"Các thách thức trong NLP bao gồm: Đa nghĩa ngôn ngữ (từ có nhiều nghĩa), thiếu dữ liệu huấn luyện chất lượng, xử lý ngôn ngữ ít tài nguyên, hiểu ngữ cảnh phức tạp, và đảm bảo tính công bằng, không thiên vị trong mô hình."
17,Mô hình ngôn ngữ lớn (LLM) là gì?,"Mô hình ngôn ngữ lớn (Large Language Model) là mô hình học sâu được huấn luyện trên tập dữ liệu văn bản khổng lồ để tạo hoặc hiểu ngôn ngữ tự nhiên. Ví dụ: GPT-3, BERT, LLaMA. Chúng được sử dụng trong các nhiệm vụ như trò chuyện, tạo văn bản và trả lời câu hỏi."
18,Fine-tuning trong NLP là gì?,"Fine-tuning là quá trình tinh chỉnh một mô hình đã được huấn luyện trước (pre-trained) trên tập dữ liệu cụ thể của một nhiệm vụ NLP, như phân loại văn bản hoặc dịch máy, để cải thiện hiệu suất trên nhiệm vụ đó."
