STT,Câu hỏi,Trả lời
1.0,Network là gì và các loại network phổ biến?,"Một network là một tập hợp các thiết bị được kết nối với nhau để chia sẻ tài nguyên và trao đổi dữ liệu. Các loại network phổ biến bao gồm LAN (mạng cục bộ), WAN (mạng diện rộng), MAN (mạng đô thị), PAN (mạng cá nhân) và WLAN (mạng không dây cục bộ)."
2.0,Giải thích các loại topology mạng khác nhau.,"Các topology mạng phổ biến gồm: Bus (tất cả thiết bị kết nối một cáp trục), Star (tất cả thiết bị kết nối một hub/switch trung tâm), Ring (thiết bị kết nối vòng tròn), Mesh (mỗi thiết bị kết nối trực tiếp với tất cả thiết bị khác) và Hybrid (kết hợp hai hoặc nhiều topology)."
3.0,HTTP và HTTPS khác nhau như thế nào?,"HTTP (Hypertext Transfer Protocol) truyền dữ liệu dạng văn bản thuần túy, không an toàn. HTTPS (HTTP Secure) sử dụng SSL/TLS để mã hóa dữ liệu, đảm bảo tính bảo mật và toàn vẹn của thông tin được truyền đi."
4.0,TCP và UDP khác nhau ra sao?,"TCP (Transmission Control Protocol) là giao thức hướng kết nối, đảm bảo phân phối dữ liệu đáng tin cậy, có thứ tự với cơ chế kiểm soát luồng và tắc nghẽn, phù hợp cho email, web. UDP (User Datagram Protocol) là không kết nối, nhanh hơn nhưng không đảm bảo độ tin cậy, phù hợp cho video streaming, VoIP."
5.0,IP Address là gì?,"IP Address (Địa chỉ Giao thức Internet) là một địa chỉ số duy nhất được gán cho mỗi thiết bị trên một mạng, dùng để nhận dạng và định vị thiết bị đó để giao tiếp."
6.0,Subnet Mask làm nhiệm vụ gì?,Subnet Mask chia một địa chỉ IP thành hai phần: Network ID (định danh mạng) và Host ID (định danh máy chủ). Nó xác định phạm vi của mạng và giúp định tuyến lưu lượng hiệu quả.
7.0,DNS hoạt động như thế nào?,"DNS (Hệ thống Tên miền) hoạt động như một danh bạ điện thoại của internet, chuyển đổi tên miền dễ nhớ (như google.com) thành địa chỉ IP số mà máy tính sử dụng để định vị và kết nối với máy chủ."
8.0,Firewall là gì?,"Firewall (Tường lửa) là một thiết bị bảo mật mạng giám sát và kiểm soát lưu lượng mạng đến và đi dựa trên các quy tắc bảo mật đã định sẵn, nhằm bảo vệ mạng nội bộ khỏi các mối đe dọa từ bên ngoài."
9.0,"Sự khác biệt giữa Router, Switch và Hub?","Router kết nối các mạng khác nhau và định tuyến lưu lượng giữa chúng. Switch kết nối các thiết bị trong cùng một mạng và chuyển tiếp khung dữ liệu đến đúng cổng dựa trên địa MAC. Hub kết nối nhiều thiết bị trong một mạng nhưng broadcast dữ liệu đến tất cả các cổng, kém thông minh và hiệu quả hơn switch."
10.0,ARP là gì và nó hoạt động ra sao?,"ARP (Giao thức Phân giải Địa chỉ) là giao thức được sử dụng để ánh xạ địa chỉ IP động (Layer 3) sang địa chỉ MAC cố định (Layer 2). Thiết bị gửi một ARP Request broadcast để hỏi ""Ai có địa chỉ IP này?"", thiết bị sở hữu IP đó sẽ phản hồi với ARP Reply chứa địa chỉ MAC của nó."
11.0,Giải thích VLAN.,"VLAN (Mạng LAN Ảo) cho phép phân chia một switch vật lý thành nhiều segment mạng logic độc lập. Các thiết bị trong cùng VLAN có thể giao tiếp như thể chúng được kết nối với cùng một switch, bất chấp vị trí vật lý, giúp cải thiện bảo mật và hiệu quả quản lý mạng."
12.0,NAT là gì?,NAT (Dịch địa chỉ mạng) là quá trình chuyển đổi địa chỉ IP riêng (private) thành địa chỉ IP công cộng (public) trước khi gửi lưu lượng ra internet. Nó bảo tồn không gian địa chỉ IPv4 và bảo mật các mạng nội bộ bằng cách che giấu các IP riêng.
13.0,ICMP là gì?,"ICMP (Giao thức Thông báo Điều khiển Internet) được sử dụng bởi các thiết bị mạng như router để gửi các thông báo lỗi và thông tin điều hành, ví dụ như một máy chủ không thể truy cập được hoặc một dịch vụ không khả dụng. Lệnh ping sử dụng ICMP để kiểm tra khả năng kết nối."
14.0,DHCP hoạt động như thế nào?,"DHCP (Giao thức Cấu hình Máy chủ Động) tự động gán địa chỉ IP và các tham số cấu hình mạng (như subnet mask, gateway, DNS) cho các thiết bị client. Quá trình này diễn ra qua 4 bước: Discover, Offer, Request, Acknowledgment (DORA)."
15.0,OSI Model là gì?,"Mô hình OSI (Kết nối Hệ thống Mở) là một khung khái niệm gồm 7 tầng (Vật lý, Liên kết dữ liệu, Mạng, Giao vận, Phiên, Trình diễn, Ứng dụng) được sử dụng để tiêu chuẩn hóa và hiểu rõ cách các thành phần mạng khác nhau giao tiếp với nhau."
