STT,Câu hỏi,Trả lời
1,SQL là gì?,"SQL (Structured Query Language - Ngôn ngữ truy vấn có cấu trúc) là ngôn ngữ lập trình chuẩn dùng để giao tiếp với cơ sở dữ liệu quan hệ. Nó cho phép người dùng tạo, đọc, cập nhật và xóa dữ liệu, đồng thời cung cấp các lệnh để định nghĩa lược đồ cơ sở dữ liệu và quản lý bảo mật cơ sở dữ liệu."
2,Cơ sở dữ liệu là gì?,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức và lưu trữ điện tử, thường được cấu trúc trong các bảng gồm hàng và cột. Nó được quản lý bởi hệ quản trị cơ sở dữ liệu (DBMS), cho phép lưu trữ, truy xuất và thao tác dữ liệu hiệu quả."
3,Các loại lệnh SQL chính là gì?,"Lệnh SQL được phân loại thành: DDL (Data Definition Language): CREATE, ALTER, DROP, TRUNCATE. DML (Data Manipulation Language): SELECT, INSERT, UPDATE, DELETE. DCL (Data Control Language): GRANT, REVOKE. TCL (Transaction Control Language): COMMIT, ROLLBACK, SAVEPOINT."
4,Sự khác biệt giữa kiểu dữ liệu CHAR và VARCHAR2 là gì?,"CHAR: Lưu trữ độ dài cố định, nếu không sử dụng hết độ dài được định nghĩa, sẽ được đệm bằng khoảng trắng. VARCHAR2: Lưu trữ độ dài thay đổi, chỉ lưu dữ liệu thực tế, tiết kiệm không gian khi không cần toàn bộ độ dài."
5,Khóa chính (Primary Key) là gì?,"Khóa chính là định danh duy nhất cho mỗi bản ghi trong bảng, đảm bảo không có hai hàng nào có giá trị giống nhau trong cột khóa chính và không cho phép giá trị NULL."
6,Khóa ngoại (Foreign Key) là gì?,"Khóa ngoại là cột hoặc tập hợp cột trong một bảng tham chiếu đến khóa chính của bảng khác, thiết lập và thực thi mối quan hệ giữa hai bảng, đảm bảo tính toàn vẹn dữ liệu."
7,Mục đích của ràng buộc DEFAULT là gì?,"Ràng buộc DEFAULT gán giá trị mặc định cho cột khi không có giá trị được cung cấp trong thao tác INSERT, giúp duy trì dữ liệu nhất quán và đơn giản hóa nhập liệu."
8,Chuẩn hóa (Normalization) trong cơ sở dữ liệu là gì?,"Chuẩn hóa là quá trình tổ chức dữ liệu trong cơ sở dữ liệu để giảm dư thừa và cải thiện tính toàn vẹn dữ liệu. Nó bao gồm chia các bảng lớn thành các bảng nhỏ hơn, có liên quan và định nghĩa mối quan hệ giữa chúng để đảm bảo nhất quán và tránh bất thường."
9,Phản chuẩn hóa (Denormalization) là gì và khi nào sử dụng?,"Phản chuẩn hóa là quá trình kết hợp các bảng đã chuẩn hóa thành bảng lớn hơn để cải thiện hiệu suất. Nó được sử dụng khi các truy vấn phức tạp và phép nối làm chậm truy xuất dữ liệu, khi lợi ích về hiệu suất vượt trội so với nhược điểm của dư thừa dữ liệu."
10,Truy vấn (Query) trong SQL là gì?,"Truy vấn là câu lệnh SQL dùng để truy xuất, cập nhật hoặc thao tác dữ liệu trong cơ sở dữ liệu. Loại truy vấn phổ biến nhất là câu lệnh SELECT, lấy dữ liệu từ một hoặc nhiều bảng dựa trên điều kiện được chỉ định."
11,Các toán tử khác nhau có sẵn trong SQL là gì?,"Toán tử số học: +, -, *, /, %. Toán tử so sánh: =, !=, <>, >, <, >=, <=. Toán tử logic: AND, OR, NOT. Toán tử tập hợp: UNION, INTERSECT, EXCEPT. Toán tử đặc biệt: BETWEEN, IN, LIKE, IS NULL. Toán tử nối chuỗi:"
12,View trong SQL là gì?,"View là bảng ảo được tạo bởi truy vấn SELECT, không lưu trữ dữ liệu vật lý, cung cấp cách truy cập dữ liệu tùy chỉnh hoặc tăng cường bảo mật."
13,Sự khác biệt giữa INNER JOIN và OUTER JOIN là gì?,"INNER JOIN: Trả về bản ghi khớp từ cả hai bảng. OUTER JOIN: Bao gồm LEFT OUTER JOIN (trả về tất cả bản ghi từ bảng trái và bản ghi khớp từ bảng phải), RIGHT OUTER JOIN (trả về tất cả bản ghi từ bảng phải và bản ghi khớp từ bảng trái), và FULL OUTER JOIN (trả về tất cả bản ghi từ cả hai bảng, với NULL cho bản ghi không khớp)."
14,Hàm tổng hợp (Aggregate Function) trong SQL là gì?,"Hàm tổng hợp thực hiện tính toán trên tập hợp giá trị và trả về một giá trị duy nhất, như COUNT, SUM, AVG, MAX, MIN."
15,GROUP BY trong SQL là gì?,"GROUP BY nhóm các bản ghi có giá trị giống nhau trong cột được chỉ định, thường dùng với hàm tổng hợp để tính toán trên nhóm."
16,HAVING trong SQL là gì?,"HAVING lọc kết quả của GROUP BY dựa trên điều kiện, tương tự WHERE nhưng áp dụng sau khi nhóm."
17,Subquery trong SQL là gì?,"Subquery là truy vấn lồng trong truy vấn khác, dùng để trả về dữ liệu phục vụ cho truy vấn chính."
18,Correlated Subquery là gì?,"Correlated Subquery là subquery tham chiếu đến giá trị từ truy vấn ngoài, thực thi cho từng hàng của truy vấn ngoài."
19,UNION và UNION ALL khác nhau thế nào?,"UNION: Kết hợp kết quả từ nhiều truy vấn SELECT, loại bỏ bản ghi trùng lặp. UNION ALL: Kết hợp kết quả mà không loại bỏ trùng lặp, nhanh hơn UNION."
20,Truy vấn để lấy 5 bản ghi đầu tiên từ bảng là gì?,"Sử dụng SELECT TOP 5 * FROM table_name (SQL Server) hoặc SELECT * FROM table_name LIMIT 5 (MySQL, PostgreSQL)."
21,Làm thế nào để lấy các bản ghi duy nhất trong SQL?,"Sử dụng SELECT DISTINCT column_name FROM table_name để trả về các giá trị duy nhất, loại bỏ trùng lặp."
22,Toán tử LIKE trong SQL được sử dụng như thế nào?,"Toán tử LIKE so sánh chuỗi với mẫu, sử dụng ký tự đại diện như % (bất kỳ chuỗi ký tự) hoặc _ (một ký tự). Ví dụ: SELECT * FROM table_name WHERE column_name LIKE 'A%'."
23,Toán tử IN trong SQL là gì?,"Toán tử IN kiểm tra xem giá trị có nằm trong danh sách giá trị được chỉ định hay không. Ví dụ: SELECT * FROM table_name WHERE column_name IN (value1, value2)."
24,Toán tử BETWEEN trong SQL là gì?,"Toán tử BETWEEN chọn các giá trị trong một khoảng, bao gồm cả giới hạn. Ví dụ: SELECT * FROM table_name WHERE column_name BETWEEN value1 AND value2."
25,Làm thế nào để sắp xếp kết quả trong SQL?,Sử dụng **ORDER BY column_name [ASC
26,NULL trong SQL là gì?,"NULL đại diện cho giá trị bị thiếu hoặc không xác định, không phải là số 0 hoặc chuỗi rỗng."
27,Làm thế nào để xử lý giá trị NULL trong SQL?,Sử dụng IS NULL hoặc IS NOT NULL để kiểm tra giá trị NULL. Ví dụ: SELECT * FROM table_name WHERE column_name IS NULL.
28,Hàm COALESCE trong SQL là gì?,"Hàm COALESCE trả về giá trị không NULL đầu tiên trong danh sách các đối số. Ví dụ: COALESCE(column_name, 'default_value')."
29,Hàm NULLIF trong SQL là gì?,"Hàm NULLIF trả về NULL nếu hai giá trị bằng nhau, nếu không trả về giá trị đầu tiên. Ví dụ: NULLIF(value1, value2)."
30,CASE trong SQL là gì?,CASE cho phép logic điều kiện trong truy vấn. Ví dụ: CASE WHEN condition THEN result ELSE default END.
31,Trigger trong SQL là gì?,"Trigger là hành động tự động thực thi khi sự kiện (INSERT, UPDATE, DELETE) xảy ra trên bảng, không thể gọi thủ công."
32,Stored Procedure trong SQL là gì?,"Stored Procedure là tập hợp câu lệnh SQL được biên dịch trước, có thể gọi thủ công, chấp nhận tham số đầu vào và trả về đầu ra."
33,Sự khác biệt giữa Trigger và Stored Procedure là gì?,"Trigger: Tự động thực thi khi sự kiện xảy ra trên bảng, không gọi thủ công. Stored Procedure: Gọi thủ công, có thể nhận tham số và trả về kết quả."
34,Cursor trong SQL là gì?,"Cursor là con trỏ cho phép duyệt qua từng bản ghi trong tập kết quả của truy vấn, dùng để xử lý dữ liệu từng hàng."
35,Index trong SQL là gì?,"Index là cấu trúc dữ liệu cải thiện tốc độ truy xuất dữ liệu bằng cách cung cấp đường dẫn nhanh đến bản ghi, nhưng tăng chi phí lưu trữ và cập nhật."
36,Các loại Index trong SQL là gì?,"Primary Index: Dựa trên khóa chính, đảm bảo duy nhất. Unique Index: Đảm bảo giá trị cột duy nhất. Clustered Index: Sắp xếp dữ liệu vật lý theo chỉ mục. Non-clustered Index: Lưu con trỏ đến dữ liệu, không thay đổi thứ tự vật lý."
37,Clustered và Non-clustered Index khác nhau thế nào?,"Clustered Index: Sắp xếp dữ liệu vật lý, mỗi bảng chỉ có một. Non-clustered Index: Lưu con trỏ đến dữ liệu, không thay đổi thứ tự vật lý."
38,Khi nào nên sử dụng Index?,"Sử dụng Index khi cần cải thiện tốc độ truy vấn trên các cột thường được tìm kiếm hoặc nối, nhưng tránh lạm dụng vì tăng chi phí cập nhật."
39,Nhược điểm của Index là gì?,"Nhược điểm: Tăng không gian lưu trữ, làm chậm thao tác INSERT, UPDATE, DELETE do cần cập nhật Index, và có thể làm phức tạp quản lý cơ sở dữ liệu."
40,Transaction trong SQL là gì?,"Transaction là tập hợp các thao tác được thực thi như một đơn vị công việc, đảm bảo tính toàn vẹn dữ liệu thông qua thuộc tính ACID."
41,Các thuộc tính ACID của Transaction là gì?,Atomicity: Đảm bảo giao dịch hoàn tất hoặc không thực hiện. Consistency: Đảm bảo dữ liệu nhất quán sau giao dịch. Isolation: Giao dịch độc lập với nhau. Durability: Kết quả giao dịch được lưu vĩnh viễn.
42,COMMIT và ROLLBACK trong SQL là gì?,COMMIT: Lưu vĩnh viễn các thay đổi của giao dịch. ROLLBACK: Hoàn tác các thay đổi của giao dịch nếu có lỗi hoặc hủy bỏ.
