STT,Câu hỏi,Trả lời
1,Đặc điểm của phần mềm là gì?,"Các đặc điểm hàng đầu của phần mềm bao gồm: Chức năng: Chỉ hiệu suất của phần mềm so với mục đích được tạo ra. Độ tin cậy: Khả năng thực hiện đúng và nhất quán công việc mà phần mềm được thiết kế. Tính dễ sử dụng: Mức độ dễ dàng sử dụng phần mềm, thời gian và công sức để học cách sử dụng. Hiệu quả: Khả năng sử dụng tài nguyên hệ thống một cách hiệu quả nhất. Tính linh hoạt: Mức độ dễ dàng cải tiến và sửa đổi phần mềm. Tính bảo trì: Mức độ dễ dàng sửa đổi phần mềm để thêm tính năng, cải thiện tốc độ hoặc sửa lỗi. Tính di động: Khả năng phần mềm hoạt động trên các nền tảng hoặc tình huống khác nhau mà không cần sửa đổi lớn. Tính toàn vẹn: Mức độ phần mềm duy trì độ chính xác và nhất quán của dữ liệu trong suốt vòng đời."
2,Các danh mục phần mềm khác nhau là gì?,"Phần mềm được sử dụng rộng rãi trong nhiều lĩnh vực như bệnh viện, ngân hàng, trường học, quốc phòng, tài chính, thị trường chứng khoán, v.v. Nó có thể được phân loại thành các loại: 1. Dựa trên ứng dụng: Phần mềm hệ thống: Quản lý phần cứng máy tính, như hệ điều hành. Phần mềm ứng dụng: Các chương trình sử dụng hàng ngày như trình xử lý văn bản hoặc trình phát nhạc. Phần mềm ứng dụng web: Các chương trình truy cập qua trình duyệt, như email hoặc quản lý tài khoản ngân hàng trực tuyến. Phần mềm nhúng: Được tích hợp trong các thiết bị như ô tô, thiết bị gia dụng, hoặc máy móc nhà máy. Phần mềm đặt chỗ: Quản lý đặt chỗ như khách sạn, chuyến bay, hoặc bàn ăn nhà hàng. Phần mềm doanh nghiệp: Hỗ trợ hoạt động doanh nghiệp, như công cụ CRM hoặc ERP. Phần mềm trí tuệ nhân tạo: Sử dụng máy học để mô phỏng trí tuệ con người, như chatbot hoặc hệ thống đề xuất. Phần mềm khoa học: Dùng cho nghiên cứu như mô phỏng, phân tích dữ liệu hoặc mô hình hóa thí nghiệm. 2. Dựa trên bản quyền: Phần mềm thương mại: Phải trả phí, kèm theo giấy phép giới hạn sử dụng, chia sẻ hoặc thay đổi. Phần mềm shareware: Miễn phí trong thời gian giới hạn hoặc với tính năng giới hạn, khuyến khích mua phiên bản đầy đủ. Phần mềm miễn phí (Freeware): Hoàn toàn miễn phí, nhưng mã nguồn thường không có sẵn. Phần mềm miền công cộng: Miễn phí để sử dụng, sửa đổi và chia sẻ mà không có hạn chế bản quyền."
3,Giải thích SDLC và các giai đoạn của nó?,"SDLC (Software Development Life Cycle - Vòng đời phát triển phần mềm) là quy trình được tuân thủ để xây dựng phần mềm trong một tổ chức phần mềm. SDLC bao gồm kế hoạch chi tiết mô tả cách phát triển, bảo trì, thay thế và nâng cấp phần mềm. Các giai đoạn của SDLC: Lập kế hoạch và phân tích yêu cầu: Xác định yêu cầu, lập kế hoạch dự án và đánh giá tính khả thi. Thiết kế: Tạo thiết kế kiến trúc và chi tiết dựa trên yêu cầu. Triển khai (Coding): Viết mã nguồn theo thiết kế. Kiểm thử: Kiểm tra phần mềm để phát hiện và sửa lỗi. Triển khai: Cài đặt phần mềm vào môi trường sản xuất. Bảo trì: Cập nhật và sửa lỗi sau khi triển khai."
4,Mô hình thác nước (Waterfall Model) là gì?,"Mô hình thác nước là một quy trình phát triển phần mềm tuần tự, trong đó mỗi giai đoạn (yêu cầu, thiết kế, triển khai, kiểm thử, triển khai, bảo trì) được hoàn thành trước khi chuyển sang giai đoạn tiếp theo. Nó phù hợp cho các dự án có yêu cầu rõ ràng và ít thay đổi."
5,Mô hình phát triển phần mềm lặp (Iterative Model) là gì?,"Mô hình lặp chia dự án thành các chu kỳ nhỏ, mỗi chu kỳ lặp lại các giai đoạn SDLC để phát triển phần mềm dần dần, cho phép cải tiến qua từng lần lặp."
6,Mô hình xoắn ốc (Spiral Model) là gì?,"Mô hình xoắn ốc kết hợp các yếu tố của mô hình thác nước và lặp, tập trung vào đánh giá rủi ro. Mỗi vòng xoắn ốc bao gồm lập kế hoạch, đánh giá rủi ro, phát triển và đánh giá, phù hợp cho các dự án lớn, phức tạp."
7,Mô hình V (V-Model) là gì?,"Mô hình V là mở rộng của mô hình thác nước, trong đó mỗi giai đoạn phát triển có giai đoạn kiểm thử tương ứng, hình thành chữ ""V"". Nó nhấn mạnh kiểm thử song song với phát triển."
8,Mô hình Agile là gì?,"Mô hình Agile là phương pháp phát triển linh hoạt, chia dự án thành các giai đoạn nhỏ (sprint), ưu tiên hợp tác với khách hàng và khả năng thích ứng với thay đổi."
9,Scrum trong Agile là gì?,"Scrum là một khung công tác trong Agile, sử dụng các sprint ngắn (2-4 tuần) để phát triển tăng dần, với các vai trò như Product Owner, Scrum Master và nhóm phát triển."
10,Kanban trong Agile là gì?,"Kanban là phương pháp Agile sử dụng bảng trực quan để quản lý luồng công việc, tập trung vào việc hoàn thành nhiệm vụ liên tục và tối ưu hóa quy trình."
11,DevOps là gì?,"DevOps là tập hợp các thực tiễn kết hợp phát triển phần mềm (Dev) và vận hành (Ops) để cải thiện sự hợp tác, tự động hóa và triển khai liên tục."
12,Vai trò của kiến trúc phần mềm là gì?,"Kiến trúc phần mềm định nghĩa cấu trúc và tổ chức của hệ thống, xác định các thành phần, mối quan hệ và cách chúng tương tác để đáp ứng yêu cầu."
13,Thiết kế phần mềm là gì?,"Thiết kế phần mềm là quá trình xác định cách các thành phần phần mềm sẽ được xây dựng, bao gồm thiết kế chi tiết, giao diện và cấu trúc dữ liệu."
14,Sự khác biệt giữa thiết kế và kiến trúc phần mềm là gì?,Kiến trúc phần mềm: Tập trung vào cấu trúc cấp cao và tổ chức hệ thống. Thiết kế phần mềm: Tập trung vào chi tiết triển khai của các thành phần trong kiến trúc.
15,Mô hình hóa phần mềm là gì?,"Mô hình hóa phần mềm là quá trình tạo biểu diễn trừu tượng của hệ thống bằng cách sử dụng các sơ đồ như UML để mô tả cấu trúc, hành vi và yêu cầu."
16,UML (Unified Modeling Language) là gì?,"UML là ngôn ngữ mô hình hóa chuẩn hóa để mô tả, thiết kế và tài liệu hóa các hệ thống phần mềm thông qua các sơ đồ như sơ đồ lớp, sơ đồ trường hợp sử dụng, v.v."
17,Các loại sơ đồ UML là gì?,"Các loại sơ đồ UML: Sơ đồ lớp, Sơ đồ đối tượng, Sơ đồ trường hợp sử dụng, Sơ đồ trạng thái, Sơ đồ hoạt động, Sơ đồ trình tự, Sơ đồ hợp tác, Sơ đồ thành phần, Sơ đồ triển khai, v.v."
18,Kiểm thử phần mềm là gì?,"Kiểm thử phần mềm là quá trình đánh giá phần mềm để xác định lỗi, đảm bảo đáp ứng yêu cầu và hoạt động đúng trong các điều kiện khác nhau."
19,Các loại kiểm thử phần mềm là gì?,Các loại kiểm thử: Kiểm thử đơn vị: Kiểm tra từng thành phần riêng lẻ. Kiểm thử tích hợp: Kiểm tra tương tác giữa các thành phần. Kiểm thử hệ thống: Kiểm tra toàn bộ hệ thống. Kiểm thử chấp nhận: Xác nhận phần mềm đáp ứng yêu cầu người dùng.
20,Kiểm thử hộp đen (Black Box Testing) là gì?,"Kiểm thử hộp đen kiểm tra chức năng của phần mềm mà không cần biết cấu trúc mã bên trong, tập trung vào đầu vào và đầu ra."
21,Kiểm thử hộp trắng (White Box Testing) là gì?,"Kiểm thử hộp trắng kiểm tra mã nguồn và cấu trúc bên trong của phần mềm, yêu cầu kiến thức về mã."
22,Kiểm thử hồi quy (Regression Testing) là gì?,Kiểm thử hồi quy đảm bảo rằng các thay đổi hoặc cập nhật mới không làm hỏng chức năng hiện có của phần mềm.
23,Kiểm thử hiệu năng (Performance Testing) là gì?,"Kiểm thử hiệu năng đánh giá tốc độ, khả năng đáp ứng và độ ổn định của phần mềm dưới các điều kiện tải khác nhau."
24,Kiểm thử tải (Load Testing) là gì?,Kiểm thử tải kiểm tra hành vi của phần mềm dưới tải công việc dự kiến hoặc tối đa để đảm bảo hiệu suất.
25,Kiểm thử căng thẳng (Stress Testing) là gì?,Kiểm thử căng thẳng kiểm tra phần mềm dưới điều kiện vượt quá giới hạn bình thường để đánh giá độ bền và khả năng xử lý lỗi.
26,Kiểm thử bảo mật (Security Testing) là gì?,Kiểm thử bảo mật xác định các lỗ hổng bảo mật trong phần mềm để đảm bảo dữ liệu và tài nguyên được bảo vệ.
27,Kiểm thử khả năng sử dụng (Usability Testing) là gì?,Kiểm thử khả năng sử dụng đánh giá mức độ dễ sử dụng và trải nghiệm người dùng của phần mềm.
28,Kiểm thử tương thích (Compatibility Testing) là gì?,"Kiểm thử tương thích đảm bảo phần mềm hoạt động tốt trên các nền tảng, trình duyệt hoặc thiết bị khác nhau."
29,Quản lý cấu hình phần mềm (Software Configuration Management) là gì?,"Quản lý cấu hình phần mềm (SCM) là quá trình theo dõi và kiểm soát các thay đổi trong phần mềm, bao gồm mã nguồn, tài liệu và cấu hình."
30,Công cụ SCM phổ biến là gì?,"Các công cụ SCM phổ biến: Git, SVN (Subversion), Mercurial, Perforce."
31,Quản lý phiên bản (Version Control) là gì?,"Quản lý phiên bản là hệ thống theo dõi các thay đổi trong mã nguồn, cho phép nhiều nhà phát triển làm việc cùng lúc và quay lại phiên bản trước nếu cần."
32,Sự khác biệt giữa Git và SVN là gì?,"Git: Hệ thống quản lý phiên bản phân tán, lưu trữ lịch sử cục bộ, nhanh và linh hoạt. SVN: Hệ thống tập trung, lưu trữ lịch sử trên máy chủ, đơn giản hơn nhưng kém linh hoạt."
33,CI/CD là gì?,CI/CD (Continuous Integration/Continuous Deployment) là thực tiễn tự động hóa tích hợp mã (CI) và triển khai phần mềm (CD) để tăng tốc phát triển và triển khai.
34,Công cụ CI/CD phổ biến là gì?,"Các công cụ CI/CD phổ biến: Jenkins, GitLab CI/CD, CircleCI, Travis CI, Azure DevOps."
35,Microservices là gì?,"Microservices là kiến trúc phần mềm chia ứng dụng thành các dịch vụ nhỏ, độc lập, giao tiếp qua API, dễ dàng mở rộng và bảo trì."
36,Sự khác biệt giữa kiến trúc microservices và monolithic là gì?,"Monolithic: Ứng dụng được xây dựng như một khối duy nhất, tất cả chức năng trong một mã nguồn. Microservices: Ứng dụng được chia thành các dịch vụ nhỏ, độc lập, mỗi dịch vụ xử lý một chức năng cụ thể."
37,Design pattern là gì?,"Design pattern là giải pháp tái sử dụng cho các vấn đề thiết kế phần mềm phổ biến, cung cấp mẫu để giải quyết vấn đề hiệu quả."
38,Một số design pattern phổ biến là gì?,"Các design pattern phổ biến: Singleton, Factory, Observer, Strategy, Adapter, Decorator, Command."
39,Nguyên lý SOLID là gì?,"Nguyên lý SOLID là tập hợp năm nguyên tắc thiết kế hướng đối tượng: S (Single Responsibility), O (Open/Closed), L (Liskov Substitution), I (Interface Segregation), D (Dependency Inversion)."
40,Refactoring là gì?,"Refactoring là quá trình cải thiện mã nguồn mà không thay đổi chức năng, nhằm tăng tính dễ đọc, bảo trì và hiệu quả."
