STT,Câu hỏi,Trả lời
1,Spring Boot là gì?,"Spring Boot là một framework được xây dựng trên nền Spring để tạo các ứng dụng web RESTful độc lập với cấu hình tối thiểu, không cần máy chủ bên ngoài vì có các máy chủ nhúng như Tomcat, Jetty, v.v. Spring Boot tạo ra các ứng dụng Spring thực thi được, sẵn sàng cho môi trường sản xuất."
2,Các tính năng của Spring Boot là gì?,"Một số tính năng hữu ích của Spring Boot: Tự động cấu hình: Sử dụng annotation @EnableAutoConfiguration để tự động cấu hình các phụ thuộc, giảm mã mẫu. Starter POM: Các tệp POM được cấu hình sẵn cho các chức năng như cơ sở dữ liệu, bảo mật, cấu hình Maven, v.v. Spring Boot CLI: Công cụ dòng lệnh để quản lý phụ thuộc, tạo dự án và chạy ứng dụng. Actuator: Cung cấp kiểm tra sức khỏe, số liệu và giám sát các điểm cuối của ứng dụng, hỗ trợ quản lý và khắc phục sự cố. Máy chủ nhúng: Bao gồm Tomcat, Jetty để chạy ứng dụng nhanh mà không cần máy chủ bên ngoài."
3,Lợi ích của việc sử dụng Spring Boot là gì?,"Spring Boot tạo ứng dụng Spring độc lập, sẵn sàng cho sản xuất, với nhiều lợi ích: Dễ sử dụng: Giảm đáng kể mã mẫu cần thiết để tạo ứng dụng Spring. Phát triển nhanh: Cách tiếp cận định hướng và tự động cấu hình giúp phát triển ứng dụng nhanh chóng, giảm thời gian thiết lập. Khả năng mở rộng: Ứng dụng Spring Boot được thiết kế để dễ dàng mở rộng hoặc thu hẹp theo nhu cầu. Sẵn sàng sản xuất: Bao gồm các tính năng như số liệu, kiểm tra sức khỏe và cấu hình bên ngoài, phù hợp cho môi trường sản xuất."
4,Các thành phần chính của Spring Boot là gì?,"Các thành phần chính của Spring Boot: Spring Boot Starters, Tự động cấu hình, Spring Boot Actuator, Spring Boot CLI, Máy chủ nhúng."
5,Tại sao chọn Spring Boot thay vì Spring?,"Spring Boot được ưu tiên hơn Spring vì: Giảm mã mẫu, tự động cấu hình, cung cấp các starter để đơn giản hóa quản lý phụ thuộc, tích hợp máy chủ nhúng, và hỗ trợ các tính năng sẵn sàng sản xuất như Actuator."
6,Giải thích cách hoạt động nội bộ của Spring Boot.,Các bước chính trong hoạt động của Spring Boot: 1. Tạo dự án Spring Boot mới. 2. Thêm các phụ thuộc cần thiết. 3. Sử dụng các annotation phù hợp để cấu hình ứng dụng. 4. Chạy ứng dụng.
7,Phụ thuộc Starter của Spring Boot là gì?,"Spring Boot cung cấp nhiều phụ thuộc Starter, là các tệp POM được cấu hình sẵn để đơn giản hóa việc tích hợp các chức năng như cơ sở dữ liệu, bảo mật, web, v.v."
8,Annotation @SpringBootApplication là gì?,"Annotation @SpringBootApplication là sự kết hợp của @EnableAutoConfiguration, @ComponentScan, và @Configuration, đánh dấu lớp chính của ứng dụng Spring Boot, kích hoạt tự động cấu hình và quét thành phần."
9,"Sự khác biệt giữa @Component, @Service, và @Repository là gì?","@Component: Annotation tổng quát đánh dấu một lớp là thành phần Spring để được quản lý bởi container. @Service: Chỉ định lớp xử lý logic nghiệp vụ. @Repository: Chỉ định lớp tương tác với cơ sở dữ liệu, hỗ trợ xử lý ngoại lệ liên quan đến dữ liệu."
10,@Autowired trong Spring Boot là gì?,"@Autowired là annotation để tự động tiêm phụ thuộc, cho phép Spring tiêm các bean tương thích vào thuộc tính, phương thức hoặc constructor."
11,Sự khác biệt giữa @RestController và @Controller là gì?,"@Controller: Đánh dấu lớp xử lý các yêu cầu HTTP và trả về view (như HTML). @RestController: Kết hợp @Controller và @ResponseBody, trả về dữ liệu trực tiếp (như JSON, XML) cho các API RESTful."
12,Spring Boot Actuator là gì?,"Spring Boot Actuator cung cấp các điểm cuối để giám sát và quản lý ứng dụng, như kiểm tra sức khỏe, số liệu, thông tin ứng dụng, và cấu hình môi trường, hỗ trợ quản lý trong môi trường sản xuất."
13,Các điểm cuối phổ biến của Actuator là gì?,"Các điểm cuối phổ biến: /health (kiểm tra sức khỏe ứng dụng), /info (thông tin ứng dụng), /metrics (số liệu hiệu suất), /env (biến môi trường), /beans (danh sách bean)."
14,Làm thế nào để bật/tắt điểm cuối Actuator?,"Sử dụng tệp cấu hình (application.properties/yaml) để bật/tắt điểm cuối, ví dụ: management.endpoints.web.exposure.include=* để bật tất cả, hoặc liệt kê cụ thể như management.endpoints.web.exposure.include=health,info."
15,Spring Boot CLI là gì?,"Spring Boot CLI (Command Line Interface) là công cụ dòng lệnh để tạo, quản lý và chạy các ứng dụng Spring Boot, hỗ trợ viết mã Groovy và quản lý phụ thuộc."
16,Làm thế nào để tạo ứng dụng Spring Boot bằng CLI?,"Sử dụng lệnh như spring init --dependencies=web my-project để tạo dự án với các phụ thuộc được chỉ định, sau đó chạy bằng spring run app.groovy."
17,Tệp cấu hình application.properties trong Spring Boot là gì?,"Tệp application.properties (hoặc application.yml) chứa các cấu hình ứng dụng, như kết nối cơ sở dữ liệu, cổng máy chủ, hoặc bật/tắt tính năng, có thể tùy chỉnh theo môi trường."
18,Làm thế nào để sử dụng nhiều tệp cấu hình trong Spring Boot?,"Sử dụng các tệp như application-dev.properties, application-prod.properties, và kích hoạt bằng thuộc tính spring.profiles.active=dev hoặc thông qua tham số dòng lệnh."
19,Profile trong Spring Boot là gì?,"Profile là cơ chế cho phép cấu hình khác nhau cho các môi trường (như dev, test, prod), sử dụng annotation @Profile hoặc thuộc tính spring.profiles.active."
20,Làm thế nào để xử lý ngoại lệ trong Spring Boot?,"Sử dụng annotation @ControllerAdvice hoặc @RestControllerAdvice để xử lý ngoại lệ toàn cục, hoặc @ExceptionHandler trong controller để xử lý ngoại lệ cụ thể."
21,@SpringBootTest là gì?,"@SpringBootTest là annotation dùng để kiểm thử tích hợp, tải toàn bộ ngữ cảnh ứng dụng Spring Boot, mô phỏng môi trường thực tế."
22,Sự khác biệt giữa @SpringBootTest và @WebMvcTest là gì?,"@SpringBootTest: Tải toàn bộ ngữ cảnh ứng dụng, dùng cho kiểm thử tích hợp. @WebMvcTest: Chỉ tải các thành phần liên quan đến tầng web (controller, filter), dùng cho kiểm thử tầng MVC."
23,Spring Boot hỗ trợ các máy chủ nhúng nào?,"Spring Boot hỗ trợ các máy chủ nhúng như Tomcat (mặc định), Jetty, và Undertow, cho phép chạy ứng dụng mà không cần máy chủ bên ngoài."
24,Làm thế nào để thay đổi máy chủ nhúng trong Spring Boot?,Thêm phụ thuộc của máy chủ mong muốn (như spring-boot-starter-jetty) và loại trừ máy chủ mặc định (như spring-boot-starter-tomcat) trong tệp cấu hình build (Maven/Gradle).
25,Spring Boot Starter là gì?,"Spring Boot Starter là tập hợp các phụ thuộc được cấu hình sẵn, giúp đơn giản hóa việc thêm các thư viện cho chức năng cụ thể như web, dữ liệu, bảo mật, v.v. Ví dụ: spring-boot-starter-web, spring-boot-starter-data-jpa."
26,Làm thế nào để tùy chỉnh cấu hình Spring Boot?,"Tùy chỉnh thông qua application.properties/yaml, sử dụng annotation như @ConfigurationProperties, hoặc tạo lớp @Configuration để định nghĩa bean tùy chỉnh."
27,Spring Data JPA là gì?,"Spring Data JPA là module của Spring Data, cung cấp cách dễ dàng để tương tác với cơ sở dữ liệu quan hệ thông qua JPA, với các repository tự động triển khai."
28,Repository trong Spring Data là gì?,"Repository là giao diện trong Spring Data định nghĩa các phương thức CRUD và truy vấn tùy chỉnh, được triển khai tự động bởi Spring Data JPA."
29,Sự khác biệt giữa CrudRepository và JpaRepository là gì?,"CrudRepository: Cung cấp các phương thức CRUD cơ bản (tạo, đọc, cập nhật, xóa). JpaRepository: Kế thừa từ CrudRepository, bổ sung các phương thức như xóa hàng loạt, làm mới thực thể, và hỗ trợ phân trang."
30,Làm thế nào để viết truy vấn tùy chỉnh trong Spring Data JPA?,"Sử dụng annotation @Query với JPQL hoặc SQL gốc trong giao diện repository, hoặc định nghĩa phương thức theo quy ước đặt tên của Spring Data."
31,Spring Boot hỗ trợ kết nối cơ sở dữ liệu như thế nào?,"Spring Boot tự động cấu hình kết nối cơ sở dữ liệu thông qua spring-boot-starter-data-jpa và thuộc tính trong application.properties (như spring.datasource.url, spring.datasource.username)."
32,Spring Security trong Spring Boot là gì?,"Spring Security là framework cung cấp xác thực, ủy quyền và bảo vệ ứng dụng, tích hợp dễ dàng với Spring Boot thông qua spring-boot-starter-security."
33,Làm thế nào để bật Spring Security trong Spring Boot?,"Thêm phụ thuộc spring-boot-starter-security và cấu hình bảo mật bằng lớp @Configuration với @EnableWebSecurity, hoặc sử dụng các thuộc tính bảo mật trong application.properties."
34,REST API trong Spring Boot là gì?,"REST API trong Spring Boot là dịch vụ web tuân theo các nguyên tắc REST, được xây dựng bằng @RestController và các annotation như @GetMapping, @PostMapping để xử lý yêu cầu HTTP."
35,Làm thế nào để tạo REST API trong Spring Boot?,"Tạo lớp với @RestController, định nghĩa các phương thức xử lý yêu cầu HTTP bằng @GetMapping, @PostMapping, v.v., và trả về dữ liệu dưới dạng JSON/XML."
36,Spring Boot hỗ trợ kiểm thử như thế nào?,"Spring Boot hỗ trợ kiểm thử thông qua spring-boot-starter-test, cung cấp các công cụ như JUnit, Mockito, và các annotation như @SpringBootTest, @WebMvcTest, @DataJpaTest."
37,Spring Boot Actuator có thể được bảo mật như thế nào?,"Bảo mật Actuator bằng cách bật Spring Security, giới hạn truy cập điểm cuối qua management.endpoints.web.exposure.include và cấu hình xác thực/ủy quyền."
38,Spring Boot hỗ trợ phân trang (pagination) như thế nào?,"Sử dụng Pageable trong phương thức repository của Spring Data JPA, trả về đối tượng Page hoặc Slice, và cấu hình tham số phân trang trong REST API."
39,Spring Boot hỗ trợ xác thực và ủy quyền như thế nào?,"Sử dụng Spring Security với các phương thức như xác thực dựa trên JWT, OAuth2, hoặc cơ chế người dùng/mật khẩu, và cấu hình ủy quyền dựa trên vai trò hoặc quyền."
40,Bean trong Spring Boot là gì?,"Bean là đối tượng được quản lý bởi container Spring, được tạo, cấu hình và tiêm phụ thuộc thông qua annotation như @Bean, @Component, hoặc tự động quét."
41,Làm thế nào để định nghĩa Bean trong Spring Boot?,"Định nghĩa Bean bằng annotation @Bean trong lớp @Configuration, hoặc sử dụng @Component, @Service, @Repository để quét tự động, hoặc cấu hình dưới dạng phần tử <bean> lồng trong cấu hình bean bao quanh."
42,Bean Wiring trong Spring là gì?,"Bean Wiring là cơ chế Spring dùng để quản lý phụ thuộc giữa các bean, cho phép tiêm các bean cộng tác vào nhau. Có hai loại: Autowiring (tự động) và Manual wiring (thủ công)."
43,Spring Boot DevTools dùng để làm gì?,"Spring Boot DevTools cung cấp các tính năng hỗ trợ phát triển: Khởi động lại ứng dụng tự động khi mã thay đổi, Khởi động nhanh ứng dụng, Điểm cuối Actuator, và Các tiện ích phát triển bổ sung, tăng năng suất cho nhà phát triển."
44,Lỗi nào xuất hiện nếu H2 không có trong classpath?,"Nếu H2 không có trong classpath, Spring Boot sẽ báo lỗi liên quan đến việc không tìm thấy driver hoặc cấu hình cơ sở dữ liệu H2, thường là ClassNotFoundException hoặc NoSuchBeanDefinitionException."
45,Lợi ích của tệp YAML so với tệp Properties và các cách tải tệp YAML trong Spring Boot là gì?,"Lợi ích của YAML so với Properties: Dễ chỉnh sửa và sửa đổi, ngắn gọn hơn, hỗ trợ kiểu dữ liệu phức tạp. Cách tải YAML trong Spring Boot: Sử dụng annotation @ConfigurationProperties hoặc lớp YamlPropertiesFactoryBean."
46,Spring Data REST là gì?,"Spring Data REST là framework biến các repository Spring Data thành dịch vụ web RESTful, cho phép xuất repository dưới dạng điểm cuối REST với cấu hình tối thiểu, sử dụng Spring Data và Spring MVC."
47,Tại sao Spring Data REST không được khuyến nghị trong ứng dụng thực tế?,Lý do không nên dùng Spring Data REST: Hiệu suất: Không tối ưu cho ứng dụng quy mô lớn. Phiên bản hóa: Khó phiên bản hóa API REST. Mối quan hệ: Xử lý mối quan hệ giữa các thực thể phức tạp. Lọc: Tùy chọn lọc kết quả trả về bị hạn chế.
48,Làm thế nào Hibernate được chọn làm triển khai mặc định cho JPA mà không cần cấu hình?,"Spring Boot tự động cấu hình Hibernate làm triển khai JPA mặc định khi thêm phụ thuộc spring-boot-starter-data-jpa, bao gồm tệp JAR Hibernate và tự động cấu hình JPA."
49,Làm thế nào để triển khai ứng dụng Spring Boot lên máy chủ khác?,Các bước triển khai: 1. Xây dựng ứng dụng Spring Boot. 2. Tạo gói triển khai (JAR/WAR). 3. Triển khai gói lên máy chủ. 4. Khởi động máy chủ.
