STT,Câu hỏi,Trả lời
1,Nguyên tắc cơ bản của Công nghệ Blockchain là gì?,"Blockchain là mạng P2P không có người dùng duy nhất kiểm soát giao dịch. Các nguyên tắc bao gồm: Phân quyền: Quyền lực phân bố giữa các người dùng, ngăn chặn hack hoặc thao túng. Tính toàn vẹn: Người dùng có quyền quyết định, niềm tin dựa trên trực giác. Mật mã học: Sử dụng mật mã để đảm bảo an toàn và toàn vẹn dữ liệu. Bảo mật: Sử dụng cơ chế mã hóa khóa công khai, giao dịch an toàn trừ khi khóa công khai bị chia sẻ."
2,Tại sao Blockchain là một phương pháp đáng tin cậy?,"Blockchain đáng tin cậy vì: Tính mã nguồn mở nên tương thích với nhiều ứng dụng kinh doanh. Giao dịch an toàn nhờ mã hóa khóa công khai. Cơ hội bình đẳng trong kinh tế toàn cầu. Phân quyền phân bố quyền lực, không có cơ quan trung ương."
3,Nêu hai loại bản ghi trong cơ sở dữ liệu blockchain?,Hai loại bản ghi là bản ghi khối và bản ghi giao dịch. Chúng dễ truy cập và tích hợp mà không cần thuật toán phức tạp.
4,Phân biệt giữa Blockchain và Hyperledger.,"1. Blockchain hỗ trợ cả blockchain công khai và riêng tư; Hyperledger chỉ hỗ trợ riêng tư. 2. Blockchain gồm công khai, riêng tư, liên minh; Hyperledger là blockchain riêng tư. 3. Blockchain áp dụng cho nhiều lĩnh vực như kinh doanh, chính phủ, y tế; Hyperledger chủ yếu cho giải pháp doanh nghiệp. 4. Các dự án blockchain bao gồm Bitcoin, Ethereum, Hyperledger; Hyperledger có Fabric (IBM), Sawtooth Lake (Intel), Corda (R3)."
5,Làm thế nào để nhận diện một khối?,"Mỗi khối gồm bốn trường: Giá trị hash của khối trước (con trỏ), Dữ liệu giao dịch, Nonce (giá trị ngẫu nhiên để thay đổi hash), Hash của khối (chữ ký số, giá trị chữ-số để nhận diện khối)."
6,Khối Genesis là gì?,"Khối Genesis, do Santoshi Nakamoto tạo năm 2009, là khối đầu tiên (khối 0) trong blockchain. Đặc điểm: Không tham chiếu khối trước, Xác định tham số như độ khó, cơ chế đồng thuận, và là nền tảng cho hệ thống giao dịch Bitcoin, nguyên mẫu cho các khối khác."
7,Liệt kê một số thuật toán mật mã được sử dụng trong blockchain.,"Các thuật toán mật mã phổ biến: SHA-256, Ethash, Triple DES, RSA, Blowfish."
8,Giá trị hash trong blockchain được tạo ra như thế nào?,1. Chi tiết giao dịch qua hàm hash một chiều SHA-256. 2. Giá trị đầu ra qua thuật toán chữ ký (như ECDSA) với khóa riêng của người dùng. 3. Hash mã hóa cùng thông tin khác tạo thành chữ ký số.
9,Có thể sửa đổi dữ liệu đã ghi trong khối không?,"Không thể sửa đổi dữ liệu trong một khối cụ thể. Nếu cần, phải xóa dữ liệu từ tất cả các khối khác, do đó cần xử lý dữ liệu cẩn thận."
10,Phương pháp nhận diện khối trong cách tiếp cận blockchain là gì?,"Mỗi khối có con trỏ hash liên kết với khối trước, dữ liệu giao dịch, và dấu thời gian."
11,Khối trong Blockchain là gì?,"Blockchain gồm danh sách bản ghi lưu trong các khối. Khi một khối hoàn thành, khối mới được tạo và liên kết với khối trước, hình thành chuỗi khối. Không thể xóa hoặc đảo ngược khối."
12,Một khối trong blockchain gồm những yếu tố nào?,"Một khối gồm: Con trỏ hash đến khối trước, Danh sách giao dịch, Dấu thời gian."
13,Sự khác biệt giữa khóa công khai và khóa riêng là gì?,"1. Khóa công khai: Dùng để nhận diện, công khai, người gửi dùng để gửi tin nhắn. 2. Khóa riêng: Dùng để mã hóa và xác thực, giữ bí mật, người nhận dùng để giải mã."
14,Có thể xóa hoàn toàn một khối khỏi mạng blockchain không?,"Có, sử dụng các tùy chọn và bộ lọc mặc định để xem xét chỉ một phần của sổ cái trực tuyến, giúp xóa khối khỏi mạng."
15,Liệt kê một số ứng dụng của hợp đồng thông minh.,"Hợp đồng thông minh là mã tự động thực thi theo quy tắc. Ứng dụng: Bảo hiểm (ngăn gian lận), Hợp đồng nhân viên (trả lương), Vận chuyển (theo dõi lô hàng)."
16,Nút chạy hợp đồng thông minh ở đâu?,"Nút chạy hợp đồng thông minh trên Máy ảo Ethereum (EVM), môi trường sandbox lý tưởng cho hợp đồng thông minh dựa trên Ethereum."
17,Điều đầu tiên được chỉ định trong tệp Solidity là gì?,Dòng đầu tiên chỉ định số phiên bản Solidity để tránh vấn đề không tương thích khi so sánh với phiên bản khác.
18,Nonce là gì? Nó được sử dụng trong khai thác như thế nào?,"Nonce là giá trị ngẫu nhiên dùng để thay đổi giá trị hash trong khai thác (mining). Khai thác giải bài toán proof of work để xác định Nonce, đáp ứng điều kiện hash."
19,Liệt kê các bước triển khai dự án Blockchain.,1. Xác định yêu cầu. 2. Lập kế hoạch. 3. Phát triển dự án. 4. Nghiên cứu tính khả thi về bảo mật. 5. Triển khai. 6. Kiểm soát và giám sát dự án.
20,Có điều kiện mạng cụ thể nào để sử dụng công nghệ Blockchain trong tổ chức không?,"Không có điều kiện mạng cụ thể, nhưng mạng phải là mạng ngang hàng (P2P) theo các giao thức liên quan."
21,Liệt kê một số khác biệt giữa Blockchain và Sổ cái Ngân hàng.,"Blockchain là phân quyền, phân phối, mã nguồn mở, không phụ thuộc vào ngân hàng trung ương. Sổ cái ngân hàng tập trung, phụ thuộc ngân hàng để theo dõi giao dịch. Blockchain linh hoạt, dễ lập trình hơn nhờ tính mã nguồn mở."
22,Kế toán điều hành là gì? Blockchain có hỗ trợ không?,"Kế toán điều hành tập trung vào tài chính doanh nghiệp, không phải cá nhân. Blockchain có thuật toán được thiết kế để xử lý kế toán điều hành."
23,Chia sẻ bí mật là gì? Nó có lợi ích gì trong công nghệ Blockchain?,"Chia sẻ bí mật phân phối bí mật giữa các thành viên, chỉ có ý nghĩa khi đủ số lượng cổ phần kết hợp. Nó mang lại nhiều lợi ích bảo mật trong blockchain."
24,Giao dịch ngoài chuỗi (off-chain) là gì?,"Giao dịch ngoài chuỗi di chuyển giá trị ngoài mạng blockchain, chi phí thấp/zero, phổ biến nhờ phí thấp, thanh toán tức thì, ẩn danh cao, hoạt động bằng cách trao đổi khóa riêng."
25,Các phần của bộ nhớ EVM là gì?,"Bộ nhớ EVM gồm: Storage (đắt, lưu vĩnh viễn), Memory (tạm thời, có thể sửa đổi, mất sau khi thực thi hợp đồng), Stack (tạm thời, không sửa đổi, mất sau thực thi)."
26,Điều gì xảy ra nếu chi phí thực thi hợp đồng thông minh vượt quá gas chỉ định?,"Giao dịch bắt đầu thực thi, nhưng nếu vượt quá gas, thợ đào ngừng xác thực, blockchain ghi nhận giao dịch thất bại, và người dùng không được hoàn tiền."
27,Hàm sửa đổi (function modifiers) trong Solidity là gì? Nêu các sửa đổi phổ biến nhất.,"Hàm sửa đổi thay đổi hành vi hàm hợp đồng thông minh. Phổ biến: View (chỉ đọc, không sửa đổi trạng thái), Pure (không đọc/ghi trạng thái)."
28,Fork là gì? Các loại fork khác nhau là gì?,"Fork là cập nhật giao thức hoặc mã blockchain khi không đạt đồng thuận. Có ba loại: Soft Fork (tương thích ngược), Hard Fork (không tương thích ngược), Temporary Fork (hai thợ đào khai thác khối cùng lúc)."
29,Sử dụng gas trong giao dịch phụ thuộc vào yếu tố nào? Phí giao dịch được tính như thế nào?,Gas phụ thuộc vào lượng lưu trữ và tập hợp lệnh trong hợp đồng thông minh. Phí tính bằng Ether: Ether = Gas Limit * Gas Price.
30,Các khối trong blockchain được liên kết theo thứ tự nào?,"Các khối liên kết ngược, mỗi khối chứa con trỏ hash đến khối trước."
31,Thuật toán mật mã nào được sử dụng trong blockchain?,"Blockchain sử dụng SHA-256, do Cơ quan An ninh Quốc gia (NSA) phát triển năm 2001."
32,Loại bản ghi nào có thể được lưu trong blockchain?,"Blockchain lưu trữ bất kỳ dữ liệu nào, phổ biến là: Hồ sơ y tế, Hoạt động quản lý, Xử lý giao dịch, Giao dịch kinh doanh."
33,DApp khác với ứng dụng thông thường như thế nào?,"DApp chạy trên mạng phân quyền, triển khai qua hợp đồng thông minh, mã back-end trên mạng P2P. Ứng dụng thông thường chạy trên server trung tâm, gồm front-end, API, cơ sở dữ liệu."
34,Có thể hack mạng blockchain không?,"Blockchain khá an toàn nhưng không hoàn toàn. Các kiểu tấn công: Sybil, Tấn công từ chối dịch vụ trực tiếp, Tấn công định tuyến, Tấn công 51%."
35,MetaMask là gì?,"MetaMask là ví Ethereum, kết nối giao diện người dùng Ethereum (như Mist, DApps) với web thông thường (Chrome, Firefox), tiêm thư viện JavaScript web3.js vào trang web."
36,Mạng Lightning là gì?,"Mạng Lightning là giao thức thanh toán tầng 2 ngoài chuỗi, hoạt động trên blockchain như Bitcoin, Litecoin, đang phát triển và được nhiều nhà cung cấp sử dụng."
37,Atomic Swap là gì?,"Atomic Swap là công nghệ hợp đồng thông minh cho phép trao đổi tiền mã hóa giữa hai blockchain mà không cần trung gian, thực hiện ngoài chuỗi."
38,Blockchain hữu ích như thế nào cho bảo vệ kỹ thuật số?,"Blockchain bảo vệ thông tin nhạy cảm nhờ tính minh bạch, toàn vẹn, phân quyền, và mã hóa, hỗ trợ an ninh mạng và bảo vệ kỹ thuật số."
39,Làm thế nào để kiểm tra một khối có hợp lệ không?,"Mỗi nút kiểm tra: Proof of work (đủ công việc để thêm vào chuỗi), Tính hợp lệ của giao dịch (mỗi giao dịch phải hợp lệ)."
40,Các khối và giao dịch trong triển khai Bitcoin được mã hóa như thế nào?,"Khối trong Bitcoin là công khai, không mã hóa, nhưng sử dụng SHA-256 để xử lý nội dung, ngăn sửa đổi và đảm bảo toàn vẹn dữ liệu."
41,Tại sao blockchain cần token để hoạt động?,"Token quản lý thay đổi trạng thái giữa các địa chỉ. Blockchain không cần token cho hoạt động cơ bản, nhưng cần cơ chế thay thế để quản lý trạng thái và xác minh giao dịch."
42,Hàm trapdoor là gì và tại sao cần trong blockchain?,"Hàm trapdoor dễ tính theo một hướng, khó ngược lại trừ khi có thông tin đặc biệt, dùng để biểu diễn địa chỉ và khóa riêng trong mã hóa khóa công khai."
43,Liệt kê một số loại mạng Ethereum?,"Có ba loại: Mạng chính (Live Network) triển khai hợp đồng thông minh; Mạng thử nghiệm (Rinkeby, Kovan, Ropsten) chạy hợp đồng miễn phí; Mạng riêng tư trong tổ chức, có tính năng Ethereum nhưng không kết nối mạng chính."
44,Hạn chế của blockchain là gì?,"Khả năng mở rộng kém khi nhiều nút tham gia, không phải hệ thống tính toán phân tán, tiêu tốn năng lượng lớn, dữ liệu bất biến (không xóa được), và thiếu hiệu quả trong một số trường hợp như Bitcoin."
45,Doanh nghiệp được gì từ việc sử dụng blockchain?,"Lợi ích: Khả năng kiểm tra, Minh bạch, Phản hồi, Khả năng truy vết, Bảo mật, Hiệu quả."
46,Định danh khối là gì?,"Mỗi khối có giá trị hash là định danh duy nhất, không có hai khối nào có cùng hash."
47,Làm thế nào để ngăn chặn chi tiêu gấp đôi?,"Thuật toán đồng thuận đảm bảo giao dịch hợp lệ, được ghi vào khối và xác minh bởi nhiều nút, ngăn chi tiêu gấp đôi."
48,Token thay thế được (fungible) là gì?,"Token thay thế được có thể trao đổi với tài sản hoặc hàng hóa cùng giá trị, ví dụ: tiền tệ, tiền."
49,Token không thay thế được (non-fungible) là gì?,"Token không thay thế được (NFT) không có giá trị nội tại, giá trị phụ thuộc vào tài sản hoặc hàng hóa mà chúng đại diện."
50,Công nghệ DeFi là gì?,"Tài chính phi tập trung (DeFi) sử dụng hợp đồng thông minh trên công nghệ sổ cái phân tán, phân quyền, không cần cơ quan trung ương, dựa trên blockchain."
