STT,Câu hỏi,Trả lời
1,AI Tạo sinh (Generative AI) là gì?,"AI Tạo sinh là một nhánh của trí tuệ nhân tạo tập trung vào việc tạo ra nội dung mới, như văn bản, hình ảnh, âm thanh hoặc video, dựa trên dữ liệu huấn luyện. Nó sử dụng các mô hình như GAN, VAE, hoặc Transformer để tạo dữ liệu giống thật hoặc sáng tạo."
2,Các ứng dụng của AI Tạo sinh là gì?,"Ứng dụng bao gồm: Tạo văn bản (chatbot, viết bài), tạo hình ảnh (DALL-E), tạo âm nhạc, tổng hợp giọng nói, thiết kế sản phẩm, và mô phỏng dữ liệu cho nghiên cứu."
3,Sự khác biệt giữa mô hình discriminative và generative là gì?,"Mô hình discriminative học cách phân loại dữ liệu bằng cách tìm ranh giới giữa các lớp (ví dụ: phân loại hình ảnh). Mô hình generative học phân phối dữ liệu để tạo dữ liệu mới, như văn bản hoặc hình ảnh (ví dụ: GPT, GAN)."
4,Mạng Đối kháng Tạo sinh (GAN) là gì?,GAN (Generative Adversarial Network) bao gồm hai mạng: Generator (tạo dữ liệu giả) và Discriminator (phân biệt dữ liệu thật/giả). Hai mạng cạnh tranh trong một trò chơi đối kháng để cải thiện chất lượng dữ liệu tạo ra.
5,Generator trong GAN hoạt động như thế nào?,"Generator nhận đầu vào ngẫu nhiên (thường là phân phối Gaussian) và tạo dữ liệu giả (như hình ảnh). Nó được huấn luyện để ""lừa"" Discriminator bằng cách tạo dữ liệu càng giống thật càng tốt."
6,Discriminator trong GAN làm gì?,Discriminator đánh giá dữ liệu đầu vào để xác định xem nó là thật (từ tập dữ liệu thực) hay giả (từ Generator). Nó được huấn luyện để phân biệt chính xác giữa hai loại dữ liệu.
7,Mã tự động biến đổi (Variational Autoencoder - VAE) là gì?,VAE là mô hình generative sử dụng mạng nơ-ron để học biểu diễn tiềm ẩn (latent representation) của dữ liệu. Nó bao gồm Encoder (nén dữ liệu thành không gian tiềm ẩn) và Decoder (tái tạo dữ liệu từ không gian tiềm ẩn).
8,Sự khác biệt giữa GAN và VAE là gì?,"GAN sử dụng trò chơi đối kháng giữa Generator và Discriminator để tạo dữ liệu, thường cho chất lượng cao nhưng khó huấn luyện. VAE sử dụng phương pháp xác suất để học phân phối dữ liệu, ổn định hơn nhưng chất lượng dữ liệu tạo ra có thể kém hơn."
9,Mô hình Diffusion là gì?,"Mô hình Diffusion tạo dữ liệu bằng cách thêm nhiễu vào dữ liệu thật qua nhiều bước (quá trình tiến), sau đó học cách khử nhiễu để tái tạo dữ liệu (quá trình ngược). Nó được sử dụng trong tạo hình ảnh chất lượng cao, như DALL-E 2."
10,Mô hình Transformer được sử dụng như thế nào trong AI Tạo sinh?,"Transformer được sử dụng để tạo văn bản hoặc hình ảnh thông qua cơ chế chú ý. Ví dụ: GPT tạo văn bản mạch lạc, còn Vision Transformer (ViT) được dùng trong tạo hình ảnh hoặc kết hợp đa phương thức."
11,Các thách thức trong huấn luyện mô hình Generative AI là gì?,"Các thách thức bao gồm: Cần lượng lớn dữ liệu huấn luyện, yêu cầu tính toán cao, vấn đề mất cân bằng trong GAN (mode collapse), khó kiểm soát chất lượng đầu ra, và các vấn đề đạo đức như tạo nội dung giả."
