STT,Câu hỏi,Trả lời
1,Tiến trình và bảng tiến trình là gì?,"Tiến trình: Là một phiên bản của chương trình đang thực thi, ví dụ: trình duyệt web hoặc cửa sổ lệnh (shell). Hệ điều hành quản lý tất cả các tiến trình đang chạy, phân bổ thời gian sử dụng bộ xử lý và các tài nguyên như bộ nhớ hoặc ổ đĩa. Bảng tiến trình: Là bảng được hệ điều hành duy trì để theo dõi trạng thái của tất cả các tiến trình, bao gồm tài nguyên mà tiến trình sử dụng và trạng thái hiện tại của nó."
2,Các trạng thái khác nhau của tiến trình là gì?,"Tiến trình có thể ở một trong ba trạng thái: Chạy (Running): Tiến trình có tất cả tài nguyên cần thiết và được phép sử dụng bộ xử lý. Chỉ một tiến trình ở trạng thái chạy tại một thời điểm. Sẵn sàng (Ready): Tiến trình chờ được cấp phép sử dụng bộ xử lý. Chờ (Waiting): Tiến trình chờ sự kiện bên ngoài (như đầu vào người dùng hoặc truy cập ổ đĩa). Trong hệ điều hành thực, trạng thái sẵn sàng và chờ được triển khai dưới dạng hàng đợi chứa các tiến trình."
3,Luồng (Thread) là gì?,"Luồng: Là một luồng thực thi đơn lẻ trong một tiến trình, đôi khi được gọi là tiến trình nhẹ vì có một số đặc điểm giống tiến trình. Luồng giúp cải thiện ứng dụng thông qua tính song song. Ví dụ: trong trình duyệt, mỗi tab có thể là một luồng; MS Word sử dụng nhiều luồng để định dạng văn bản, xử lý đầu vào, v.v."
4,Sự khác biệt giữa tiến trình và luồng là gì?,"Tiến trình: Là chương trình đang thực thi, độc lập với các tiến trình khác, có không gian địa chỉ riêng. Luồng: Là đoạn mã nhỏ nhất trong tiến trình, được quản lý độc lập bởi bộ lập lịch. Các luồng trong cùng tiến trình chia sẻ không gian địa chỉ, bao gồm đoạn mã, dữ liệu và tài nguyên hệ điều hành như tệp đang mở, nhưng mỗi luồng có bộ đếm chương trình (PC), tập thanh ghi và không gian ngăn xếp riêng."
5,Bộ lập lịch tiến trình (Process Scheduler) là gì?,"Bộ lập lịch tiến trình là thành phần của hệ điều hành quyết định tiến trình nào được chạy, khi nào và trong bao lâu, nhằm tối ưu hóa hiệu suất hệ thống, sử dụng CPU và thời gian phản hồi."
6,Các loại bộ lập lịch là gì?,Bộ lập lịch dài hạn: Quyết định tiến trình nào được đưa vào hàng đợi sẵn sàng. Bộ lập lịch ngắn hạn: Chọn tiến trình từ hàng đợi sẵn sàng để chạy trên CPU. Bộ lập lịch trung hạn: Quản lý tiến trình bị tạm hoãn (swapped out) để nhường bộ nhớ cho tiến trình khác.
7,CPU Scheduling là gì?,"CPU Scheduling là quá trình hệ điều hành chọn tiến trình từ hàng đợi sẵn sàng để phân bổ CPU, nhằm tối ưu hóa hiệu suất, độ trễ và thông lượng."
8,Các thuật toán lập lịch CPU là gì?,Các thuật toán lập lịch CPU: FCFS (First Come First Serve): Thực thi tiến trình theo thứ tự đến. SJF (Shortest Job First): Ưu tiên tiến trình có thời gian thực thi ngắn nhất. SRTF (Shortest Remaining Time First): Phiên bản chiếm ưu tiên của SJF. Round Robin: Phân bổ thời gian CPU cho mỗi tiến trình theo vòng. Priority Scheduling: Ưu tiên tiến trình theo mức ưu tiên. Multilevel Queue Scheduling: Chia tiến trình thành nhiều hàng đợi với các thuật toán lập lịch khác nhau.
9,Deadlock trong hệ điều hành là gì?,"Deadlock là trạng thái mà hai hoặc nhiều tiến trình bị kẹt, mỗi tiến trình giữ một tài nguyên và chờ tài nguyên mà tiến trình khác đang giữ, dẫn đến không tiến trình nào có thể tiếp tục."
10,Các điều kiện cần để xảy ra Deadlock là gì?,Bốn điều kiện cần cho Deadlock: Giữ và chờ (Hold and Wait): Tiến trình giữ tài nguyên và chờ thêm tài nguyên. Chiếm dụng không trả (No Preemption): Tài nguyên không thể bị lấy đi từ tiến trình. Phụ thuộc vòng (Circular Wait): Các tiến trình tạo thành vòng chờ tài nguyên. Loại trừ lẫn nhau (Mutual Exclusion): Tài nguyên chỉ có thể được giữ bởi một tiến trình tại một thời điểm.
