STT,Câu hỏi,Trả lời
1,Python là ngôn ngữ biên dịch hay thông dịch?,"Python không được định nghĩa chính thức là ngôn ngữ biên dịch hay thông dịch trong chuẩn ngôn ngữ, mà phụ thuộc vào triển khai. Các triển khai phổ biến như CPython thực hiện cả biên dịch và thông dịch. Biên dịch: Mã nguồn Python (.py) được biên dịch thành bytecode (.pyc), một dạng trung gian mà Máy ảo Python (PVM) có thể hiểu. Thông dịch: PVM thực thi bytecode từng dòng tại thời điểm chạy, nên Python thường được coi là ngôn ngữ thông dịch. Một số triển khai như PyPy sử dụng biên dịch Just-In-Time (JIT) để chuyển bytecode thành mã máy tại thời điểm chạy, cải thiện hiệu suất."
2,Làm thế nào để nối hai danh sách trong Python?,"Có thể nối hai danh sách trong Python bằng: Toán tử +: Tạo danh sách mới bằng cách kết hợp hai danh sách, ví dụ: [1, 2, 3] + [4, 5, 6] cho kết quả [1, 2, 3, 4, 5, 6]. Phương thức extend(): Thêm tất cả phần tử của danh sách thứ hai vào danh sách thứ nhất tại chỗ, ví dụ: list1.extend(list2)."
3,Sự khác biệt giữa vòng lặp for và while trong Python là gì?,"Vòng lặp for: Dùng khi biết trước số lần lặp, thường với danh sách, tuple, tập hợp hoặc từ điển, ví dụ: duyệt qua [0, 1, 2, 3, 4]. Vòng lặp while: Dùng khi chỉ biết điều kiện dừng mà không rõ số lần lặp, ví dụ: lặp cho đến khi một biến đạt giá trị cụ thể."
4,Làm thế nào để làm tròn xuống một số trong Python?,"Để làm tròn xuống một số, sử dụng hàm math.floor() từ thư viện math, trả về số nguyên lớn nhất nhỏ hơn hoặc bằng số đã cho, ví dụ: math.floor(3.7) trả về 3."
5,Hàm lambda trong Python là gì?,"Hàm lambda là hàm ẩn danh, được định nghĩa ngắn gọn bằng từ khóa lambda, dùng để thực hiện các tác vụ đơn giản trong một dòng, ví dụ: lambda x: x + 1."
6,List comprehension trong Python là gì?,"List comprehension là cách ngắn gọn để tạo danh sách bằng cách áp dụng biểu thức lên từng phần tử của một iterable, ví dụ: [x**2 for x in range(5)] tạo [0, 1, 4, 9, 16]."
7,Sự khác biệt giữa list và tuple trong Python là gì?,"List: Có thể thay đổi (mutable), hỗ trợ thêm/xóa phần tử, ví dụ: [1, 2, 3]. Tuple: Không thể thay đổi (immutable), nhanh hơn, dùng khi dữ liệu cố định, ví dụ: (1, 2, 3)."
8,Dictionary trong Python là gì?,"Dictionary là cấu trúc dữ liệu lưu trữ cặp khóa-giá trị, cho phép truy xuất nhanh theo khóa, ví dụ: {""name"": ""John"", ""age"": 30}."
9,Set trong Python là gì?,"Set là tập hợp các phần tử duy nhất, không có thứ tự, hỗ trợ các phép toán tập hợp như hợp, giao, trừ, ví dụ: {1, 2, 3}."
10,Làm thế nào để xóa phần tử khỏi danh sách trong Python?,Xóa phần tử bằng: remove(value): Xóa phần tử đầu tiên có giá trị value. pop(index): Xóa và trả về phần tử tại chỉ số index. del list[index]: Xóa phần tử tại chỉ số. clear(): Xóa toàn bộ danh sách.
11,Generators trong Python là gì?,"Generators là cách tạo iterator trả về từng giá trị một, tiết kiệm bộ nhớ, sử dụng từ khóa yield, ví dụ: def my_gen(): yield 1; yield 2; yield 3."
12,Decorators trong Python là gì?,"Decorators là hàm bọc một hàm khác để mở rộng hoặc sửa đổi hành vi mà không thay đổi mã nguồn, ví dụ: @decorator trên một hàm."
13,Làm thế nào để xử lý ngoại lệ trong Python?,"Sử dụng khối try-except để xử lý ngoại lệ, ví dụ: try: x = 1/0 except ZeroDivisionError: print(""Không chia được cho 0""). Có thể thêm else (chạy nếu không có ngoại lệ) và finally (luôn chạy)."
14,Sự khác biệt giữa == và is trong Python là gì?,"==: So sánh giá trị của hai đối tượng, ví dụ: 1 == 1.0 trả về True. is: So sánh danh tính (địa chỉ bộ nhớ), ví dụ: [1, 2] is [1, 2] trả về False vì là hai đối tượng khác nhau."
15,Global Interpreter Lock (GIL) trong Python là gì?,"GIL là cơ chế trong CPython khóa các luồng để chỉ một luồng thực thi bytecode Python tại một thời điểm, hạn chế đa luồng thực sự trong Python."
16,Làm thế nào để đạt được đa luồng trong Python?,"Không thể đạt được đa luồng thực sự trong CPython do GIL. Tuy nhiên, có thể sử dụng: Threading cho các tác vụ I/O-bound (như mạng, tệp), Multiprocessing cho các tác vụ CPU-bound (tạo tiến trình riêng biệt để vượt qua GIL)."
17,Module trong Python là gì?,"Module là tệp Python chứa các định nghĩa hàm, lớp, hoặc biến, có thể được nhập bằng import để tái sử dụng mã, ví dụ: import math."
18,Package trong Python là gì?,"Package là thư mục chứa nhiều module Python và một tệp __init__.py, cho phép tổ chức mã theo cấu trúc phân cấp, ví dụ: import mypackage.mymodule."
19,Làm thế nào để nhập một module trong Python?,"Nhập module bằng: import module_name, from module_name import something, hoặc import module_name as alias để sử dụng các hàm/biến trong module."
20,Sự khác biệt giữa deep copy và shallow copy là gì?,"Shallow copy: Sao chép tham chiếu đến các đối tượng con, không sao chép sâu (dùng copy.copy()). Deep copy: Sao chép toàn bộ đối tượng và các đối tượng con, tạo bản sao độc lập (dùng copy.deepcopy())."
21,Hàm map() trong Python là gì?,"Hàm map() áp dụng một hàm cho từng phần tử của một iterable, trả về một iterator, ví dụ: map(str, [1, 2, 3]) chuyển thành [""1"", ""2"", ""3""]."
22,Hàm filter() trong Python là gì?,"Hàm filter() áp dụng hàm kiểm tra điều kiện để lọc các phần tử của iterable, trả về iterator chứa các phần tử thỏa mãn, ví dụ: filter(lambda x: x > 0, [-1, 0, 1]) trả về [1]."
