STT,Câu hỏi,Trả lời
1,ReactJS là gì?,"ReactJS là một thư viện JavaScript dùng để xây dựng các thành phần giao diện người dùng có thể tái sử dụng trong tầng giao diện (view layer) của kiến trúc MVC. Nó được sử dụng để phát triển ứng dụng trang đơn (SPA) nhờ kiến trúc dựa trên thành phần, tái kết xuất hiệu quả với Virtual DOM, và khả năng quản lý nội dung động mà không cần tải lại toàn bộ trang. React được viết bằng JSX. Các tính năng quan trọng: Virtual DOM: Sử dụng Virtual DOM để cập nhật và kết xuất thành phần hiệu quả, giảm thiểu thao tác trực tiếp trên DOM. Kiến trúc dựa trên thành phần: Xây dựng giao diện với các thành phần độc lập, tái sử dụng, giúp mã dễ bảo trì và mở rộng. Hooks: Cho phép các thành phần hàm quản lý trạng thái và hiệu ứng phụ, tăng tính linh hoạt. Kết xuất phía máy chủ (SSR): Tạo nội dung HTML trên máy chủ để cải thiện hiệu suất và SEO. React Router: Cho phép điều hướng trong ứng dụng React, định nghĩa các tuyến đường cho các giao diện khác nhau trong SPA."
2,Phiên bản mới nhất của React là gì?,"Phiên bản ổn định mới nhất của React là v19.1.0, phát hành vào ngày 28 tháng 3 năm 2025. Phiên bản này được xây dựng dựa trên các cập nhật lớn từ React v19.0.0, phát hành chính thức vào ngày 5 tháng 12 năm 2024."
3,Giải thích kiến trúc MVC.,"Kiến trúc MVC (Model-View-Controller) là một mẫu thiết kế phân tách ứng dụng thành ba thành phần chính: Model: Quản lý dữ liệu và logic nghiệp vụ. View: Hiển thị dữ liệu cho người dùng. Controller: Xử lý tương tác người dùng và điều phối giữa Model và View. MVC tách biệt các tầng nghiệp vụ, logic và giao diện để tăng tính bảo trì và khả năng mở rộng."
4,Giải thích các khối xây dựng của React.,"Năm khối xây dựng chính của React: Thành phần (Components): Các khối mã tái sử dụng trả về HTML. JSX: Viết cú pháp giống HTML trong JavaScript, giúp dễ dàng xây dựng giao diện. Props và State: Props là tham số truyền dữ liệu giữa các thành phần; State là bộ nhớ cục bộ chỉ thuộc về thành phần. Context: Cho phép truyền dữ liệu qua các thành phần mà không cần truyền qua props theo thứ tự. Virtual DOM: Bản sao nhẹ của DOM thực, giúp thao tác DOM dễ dàng và hiệu quả hơn."
5,Giải thích Props và State trong React cùng sự khác biệt.,"Props: Dùng để truyền dữ liệu từ thành phần cha sang thành phần con, giống như tham số hàm, không thể sửa đổi trong thành phần con. State: Là dữ liệu cục bộ trong thành phần, có thể thay đổi và chỉ thuộc về thành phần đó, không thể truyền sang thành phần khác. Sự khác biệt: Props là bất biến (immutable) trong thành phần nhận, trong khi State có thể thay đổi và quản lý bởi thành phần sở hữu."
6,JSX trong React là gì?,"JSX (JavaScript XML) là cú pháp mở rộng của JavaScript, cho phép viết mã giống HTML trong React để mô tả giao diện người dùng. Nó được biên dịch thành các lệnh gọi hàm JavaScript, giúp mã dễ đọc và viết hơn."
7,Virtual DOM trong React là gì?,"Virtual DOM là bản sao nhẹ của DOM thực, được React sử dụng để theo dõi các thay đổi trong giao diện. Khi trạng thái hoặc props thay đổi, React so sánh Virtual DOM mới với phiên bản cũ để xác định và áp dụng các cập nhật tối thiểu lên DOM thực, cải thiện hiệu suất."
8,Hooks trong React là gì?,"Hooks là các hàm đặc biệt (như useState, useEffect) cho phép các thành phần hàm quản lý trạng thái, hiệu ứng phụ và các tính năng khác mà trước đây chỉ có trong thành phần lớp. Hooks giúp mã ngắn gọn và dễ bảo trì hơn."
9,Một số Hooks phổ biến trong React là gì?,"Các Hooks phổ biến: useState: Quản lý trạng thái trong thành phần hàm. useEffect: Xử lý hiệu ứng phụ (như gọi API, đăng ký sự kiện). useContext: Truy cập dữ liệu từ Context. useReducer: Quản lý trạng thái phức tạp tương tự Redux. useRef: Tạo tham chiếu bền vững hoặc truy cập DOM."
10,useState Hook hoạt động như thế nào?,"useState là Hook quản lý trạng thái trong thành phần hàm. Nó nhận giá trị khởi tạo và trả về một mảng chứa trạng thái hiện tại và hàm cập nhật trạng thái. Ví dụ: const [count, setCount] = useState(0); cho phép cập nhật count bằng setCount."
11,useEffect Hook hoạt động như thế nào?,"useEffect xử lý hiệu ứng phụ (như gọi API, cập nhật DOM) sau khi thành phần được kết xuất. Nó nhận một hàm callback và mảng phụ thuộc, chạy callback khi phụ thuộc thay đổi hoặc khi thành phần được gắn/gỡ."
12,Sự khác biệt giữa thành phần lớp (Class Component) và thành phần hàm (Functional Component) là gì?,"Thành phần lớp: Dựa trên lớp ES6, sử dụng this để quản lý trạng thái và phương thức, cú pháp phức tạp hơn. Thành phần hàm: Dựa trên hàm JavaScript, sử dụng Hooks để quản lý trạng thái và hiệu ứng phụ, ngắn gọn và dễ đọc hơn. Hooks khiến thành phần hàm trở thành lựa chọn ưu tiên."
13,React Router là gì?,"React Router là thư viện điều hướng cho ứng dụng React, cho phép định nghĩa các tuyến đường (routes) để hiển thị các giao diện khác nhau trong ứng dụng trang đơn (SPA) mà không cần tải lại trang."
14,Làm thế nào để sử dụng React Router?,"Cài đặt react-router-dom, sử dụng các thành phần như <BrowserRouter>, <Route>, <Link> để định nghĩa và điều hướng giữa các tuyến đường. Ví dụ: <Route path=""/home"" component={Home} /> hiển thị thành phần Home khi truy cập /home."
15,Context trong React là gì?,Context cung cấp cách truyền dữ liệu qua cây thành phần mà không cần truyền props qua từng cấp. Nó hữu ích cho dữ liệu toàn cục như chủ đề (theme) hoặc thông tin người dùng.
16,Làm thế nào để sử dụng Context trong React?,"Tạo Context bằng React.createContext(), cung cấp giá trị qua <Context.Provider>, và truy cập giá trị bằng <Context.Consumer> hoặc Hook useContext."
17,Redux trong React là gì?,"Redux là thư viện quản lý trạng thái toàn cục, sử dụng kho lưu trữ trung tâm (store) để quản lý trạng thái ứng dụng, với các hành động (actions) và bộ giảm tốc (reducers) để cập nhật trạng thái."
18,Khi nào nên sử dụng Redux?,"Sử dụng Redux khi ứng dụng có trạng thái phức tạp, cần chia sẻ giữa nhiều thành phần, hoặc yêu cầu theo dõi và gỡ lỗi trạng thái (như với Redux DevTools)."
19,Sự khác biệt giữa Redux và Context API là gì?,"Redux: Cung cấp kho lưu trữ trạng thái toàn cục, hỗ trợ middleware, gỡ lỗi mạnh mẽ, nhưng phức tạp hơn. Context API: Đơn giản hơn, tích hợp sẵn trong React, phù hợp cho trạng thái toàn cục nhẹ, nhưng không hỗ trợ các tính năng quản lý trạng thái phức tạp như Redux."
20,React Fragment là gì?,"React Fragment (<></> hoặc <React.Fragment>) là cách nhóm nhiều phần tử con mà không tạo thêm nút DOM, giúp giữ cấu trúc HTML gọn gàng."
21,Prop Drilling là gì?,"Prop Drilling là việc truyền dữ liệu qua nhiều cấp thành phần thông qua props, ngay cả khi các thành phần trung gian không sử dụng dữ liệu đó, gây khó khăn trong bảo trì."
22,Làm thế nào để tránh Prop Drilling?,"Tránh Prop Drilling bằng cách sử dụng Context API để truyền dữ liệu trực tiếp đến thành phần cần, hoặc sử dụng thư viện quản lý trạng thái như Redux."
23,Controlled Component trong React là gì?,"Controlled Component là thành phần mà giá trị (như input) được kiểm soát bởi trạng thái React, đồng bộ hóa thông qua value và sự kiện như onChange."
24,Uncontrolled Component trong React là gì?,"Uncontrolled Component là thành phần mà giá trị được quản lý bởi DOM thay vì trạng thái React, truy cập qua ref (thường dùng với useRef)."
25,Sự khác biệt giữa Controlled và Uncontrolled Component là gì?,"Controlled Component: Giá trị được quản lý bởi trạng thái React, đồng bộ hóa qua props và sự kiện. Uncontrolled Component: Giá trị được quản lý bởi DOM, truy cập qua ref, ít kiểm soát hơn nhưng đơn giản hơn trong một số trường hợp."
26,React Hooks thay thế Class Component như thế nào?,"Hooks (như useState, useEffect) cho phép thành phần hàm thực hiện các chức năng trước đây chỉ có trong thành phần lớp (quản lý trạng thái, hiệu ứng phụ), khiến chúng ngắn gọn, dễ đọc và được ưu tiên trong React hiện đại."
27,React.memo() là gì?,"React.memo() là một higher-order component (HOC) ngăn việc tái kết xuất thành phần hàm nếu props không thay đổi, cải thiện hiệu suất bằng cách ghi nhớ kết quả kết xuất."
28,useMemo Hook là gì?,"useMemo là Hook ghi nhớ kết quả của một phép tính, chỉ tính lại khi các phụ thuộc thay đổi, giúp tối ưu hóa hiệu suất cho các tính toán nặng."
29,useCallback Hook là gì?,"useCallback ghi nhớ một hàm callback, chỉ tạo lại khi phụ thuộc thay đổi, thường dùng để ngăn tái tạo hàm không cần thiết trong các thành phần con."
30,useRef Hook là gì?,"useRef tạo một tham chiếu bền vững (không bị reset khi tái kết xuất) để lưu trữ giá trị hoặc truy cập phần tử DOM, thường dùng cho input hoặc lưu trữ trạng thái không liên quan đến giao diện."
31,Forward Ref trong React là gì?,"Forward Ref cho phép truyền ref từ thành phần cha đến thành phần con, thường dùng để truy cập trực tiếp DOM hoặc thành phần con cụ thể."
32,Higher-Order Component (HOC) là gì?,"HOC là hàm nhận một thành phần và trả về một thành phần mới với chức năng bổ sung, dùng để tái sử dụng logic như xác thực hoặc ghi log."
33,Render Props là gì?,"Render Props là kỹ thuật chia sẻ logic bằng cách truyền một hàm làm prop để render nội dung, cho phép tái sử dụng logic mà không cần HOC."
34,Sự khác biệt giữa HOC và Render Props là gì?,"HOC: Bọc thành phần để thêm logic, trả về thành phần mới, dễ tái sử dụng nhưng có thể làm phức tạp cây thành phần. Render Props: Truyền hàm render làm prop, linh hoạt hơn nhưng yêu cầu cấu hình thủ công hơn."
35,Pure Component trong React là gì?,"Pure Component là thành phần lớp tự động so sánh props và state để ngăn tái kết xuất không cần thiết, tương tự React.memo cho thành phần hàm."
36,React Lifecycle Methods là gì?,"Lifecycle Methods là các phương thức trong thành phần lớp được gọi tại các giai đoạn cụ thể (gắn, cập nhật, gỡ), như componentDidMount, componentDidUpdate, componentWillUnmount."
37,Làm thế nào để tối ưu hóa hiệu suất trong React?,"Tối ưu hóa hiệu suất bằng: Sử dụng React.memo() để ngăn tái kết xuất, useMemo và useCallback để ghi nhớ tính toán/hàm, Lazy Loading, Code Splitting, và Server-Side Rendering."
38,Code Splitting trong React là gì?,"Code Splitting chia mã thành các gói nhỏ, tải theo nhu cầu thay vì tải toàn bộ ứng dụng ngay từ đầu, cải thiện thời gian tải ban đầu."
39,Lazy Loading trong React là gì?,"Lazy Loading là kỹ thuật tải các thành phần hoặc tài nguyên chỉ khi cần, thay vì tải toàn bộ khi ứng dụng khởi động, giúp cải thiện hiệu suất. Trong React, dùng React.lazy() để tải lười các thành phần."
40,React khác với React Native như thế nào?,"React: Thư viện để xây dựng giao diện web, sử dụng DOM và trình duyệt. React Native: Framework để xây dựng ứng dụng di động, sử dụng các thành phần gốc (native components) cho iOS và Android, không dùng DOM."
41,Memoization trong React là gì?,"Memoization là kỹ thuật tối ưu hóa hiệu suất bằng cách lưu trữ kết quả của các hàm hoặc kết xuất thành phần, tái sử dụng khi đầu vào không thay đổi, giúp tránh tính toán hoặc tái kết xuất không cần thiết."
42,Memoization hoạt động như thế nào trong React?,"React cung cấp hai API cho memoization: React.memo(): Ngăn tái kết xuất thành phần hàm nếu props không thay đổi. useMemo(): Ghi nhớ kết quả tính toán, chỉ tính lại khi phụ thuộc thay đổi."
43,Reconciliation trong React là gì?,"Reconciliation là quá trình cập nhật DOM khi trạng thái hoặc props của thành phần thay đổi. React sử dụng Virtual DOM để so sánh phiên bản cũ và mới, xác định thay đổi tối thiểu để cập nhật DOM thực, với thuật toán Fiber hỗ trợ ưu tiên và ngắt quá trình để cải thiện hiệu suất."
