STT,Câu hỏi,Trả lời
1,"Giải thích các cấu trúc dữ liệu cơ bản như Mảng, Danh sách liên kết và Ngăn xếp.","Mảng: Là cấu trúc dữ liệu cơ bản lưu trữ các phần tử cùng kiểu dữ liệu trong các vị trí bộ nhớ liền kề. Các phần tử được truy cập bằng chỉ số, bắt đầu từ 0. Danh sách liên kết: Là cấu trúc dữ liệu tuyến tính gồm các nút, mỗi nút chứa dữ liệu và tham chiếu đến nút tiếp theo (danh sách liên kết đơn) hoặc cả nút trước và sau (danh sách liên kết kép). Ngăn xếp: Là kiểu dữ liệu trừu tượng tuân theo nguyên tắc LIFO (Last In, First Out). Các phần tử được thêm (push) và xóa (pop) từ đỉnh ngăn xếp."
2,Sự khác biệt giữa Hàng đợi và Ngăn xếp là gì?,"Hàng đợi: Là kiểu dữ liệu trừu tượng tuân theo nguyên tắc FIFO (First In, First Out), thêm phần tử vào cuối (enqueue) và xóa từ đầu (dequeue), giống như hàng chờ mua vé. Ngăn xếp: Tuân theo nguyên tắc LIFO, thêm và xóa phần tử từ đỉnh, giống như chồng đĩa trong căng tin."
3,Giải thích khái niệm độ phức tạp thời gian và tầm quan trọng của nó trong phân tích thuật toán.,"Độ phức tạp thời gian: Đo lường thời gian thực thi của thuật toán dựa trên kích thước đầu vào, thường biểu diễn bằng ký hiệu Big O (ví dụ: O(n), O(n^2)) cho trường hợp xấu nhất. Tầm quan trọng: Phân tích độ phức tạp thời gian giúp đánh giá hiệu quả và khả năng mở rộng của thuật toán, cho phép so sánh hiệu suất và đưa ra quyết định chọn thuật toán dựa trên kích thước đầu vào và hạn chế tài nguyên."
4,Lập trình hướng đối tượng (OOP) là gì? Giải thích bốn trụ cột của OOP.,"Lập trình hướng đối tượng (OOP): Là mô hình lập trình dựa trên khái niệm đối tượng, chứa dữ liệu (thuộc tính) và phương thức (hàm), nhấn mạnh tính mô-đun, đóng gói, kế thừa và đa hình. Bốn trụ cột của OOP: Đóng gói: Gộp dữ liệu và phương thức vào một đơn vị (lớp), che giấu chi tiết triển khai và cung cấp giao diện rõ ràng. Kế thừa: Cho phép lớp con kế thừa thuộc tính và phương thức từ lớp cha, thúc đẩy tái sử dụng mã và tạo hệ thống phân cấp lớp. Đa hình: Cho phép các đối tượng thuộc các lớp khác nhau được xem như đối tượng của lớp cha chung, giúp gọi phương thức mà không cần biết kiểu cụ thể, tăng tính linh hoạt và tái sử dụng. Trừu tượng: Mô hình hóa thực thể thực tế thành biểu diễn đơn giản hóa trong mã, tập trung vào các thuộc tính cần thiết và ẩn chi tiết không cần thiết."
5,Giải thích khái niệm đệ quy và cho ví dụ.,Đệ quy: Là quá trình một hàm tự gọi chính nó để giải quyết vấn đề bằng cách chia nhỏ thành các bài toán con tương tự. Ví dụ: Tính giai thừa (factorial) của số n: Hàm factorial(n) gọi factorial(n-1) cho đến khi đạt điều kiện cơ bản (n=0 hoặc n=1).
6,Sự khác biệt giữa hàm và phương thức là gì?,"Hàm: Là một khối mã độc lập thực hiện nhiệm vụ cụ thể, không liên kết với đối tượng. Phương thức: Là hàm được định nghĩa trong một lớp, liên kết với đối tượng và hoạt động trên dữ liệu của đối tượng đó."
7,Giải thích các kiểu kế thừa trong OOP.,"Các kiểu kế thừa: Kế thừa đơn: Một lớp con kế thừa từ một lớp cha. Kế thừa đa cấp: Một lớp con kế thừa từ một lớp cha, và lớp cha đó lại kế thừa từ lớp khác. Kế thừa phân cấp: Nhiều lớp con kế thừa từ một lớp cha chung. Kế thừa đa dạng (chỉ có trong một số ngôn ngữ như C++): Một lớp con kế thừa từ nhiều lớp cha."
8,Interface trong OOP là gì?,"Interface là hợp đồng định nghĩa các phương thức mà lớp phải triển khai, không chứa triển khai cụ thể, cho phép đa hình và thiết kế linh hoạt."
9,Sự khác biệt giữa Interface và Abstract Class là gì?,"Interface: Chỉ chứa khai báo phương thức, không có triển khai hoặc trạng thái. Abstract Class: Có thể chứa cả phương thức trừu tượng và phương thức cụ thể, cũng như các thuộc tính. Lớp trừu tượng có thể cung cấp triển khai mặc định, trong khi interface không."
10,Overloading và Overriding trong OOP là gì?,"Overloading: Định nghĩa nhiều phương thức cùng tên nhưng khác tham số (số lượng hoặc kiểu). Overriding: Lớp con cung cấp triển khai cụ thể cho phương thức được định nghĩa trong lớp cha, yêu cầu cùng tên, tham số và kiểu trả về."
