STT,Câu hỏi,Trả lời
1,Giải thích các kiểu dữ liệu có sẵn trong TypeScript.,"Có chủ yếu hai loại kiểu dữ liệu có sẵn trong TypeScript: 1. Kiểu dữ liệu tích hợp: Những kiểu dữ liệu này đã tồn tại trong TypeScript. Chúng có thể được sử dụng trực tiếp để định nghĩa các biến với các giá trị khác nhau. String: Đại diện cho giá trị văn bản như ""GeeksforGeeks"" hoặc ""Computer Science"". Number: Đại diện cho các giá trị số, tức là 2, 28, 99, v.v. Boolean: Lưu trữ giá trị true hoặc false. Null: Giá trị rỗng được gán cố ý cho một biến. Undefined: Đại diện cho biến được khai báo nhưng chưa được khởi tạo. any: Đại diện cho bất kỳ giá trị nào của bất kỳ kiểu dữ liệu nào và bất kỳ số lượng giá trị nào của các kiểu dữ liệu khác nhau. void: Được sử dụng để đại diện rằng một hàm cụ thể sẽ không trả về bất kỳ giá trị nào của bất kỳ kiểu dữ liệu nào. 2. Kiểu dữ liệu do người dùng định nghĩa: Đây là các kiểu dữ liệu được định nghĩa bởi người dùng, chúng có thể chứa nhiều giá trị của nhiều kiểu dữ liệu khác nhau. arrays: Trong TypeScript, mảng được sử dụng để lưu trữ nhiều giá trị của bất kỳ kiểu dữ liệu nào. enums: Một lớp đặc biệt chỉ định các biến hằng số. classes: Được sử dụng để lưu trữ các giá trị kiểu dữ liệu khác nhau dưới dạng cặp key-value. Interface: Những thứ này đại diện cho cú pháp cơ bản và bản thiết kế mà một thực thể phải tuân thủ."
2,Có bao nhiêu cách để khai báo biến trong TypeScript?,"Trong TypeScript, có ba cách để khai báo biến: Sử dụng từ khóa var: Đây là cách cũ nhất để khai báo biến. Sử dụng từ khóa let: Được giới thiệu trong ES6 hoặc ECMAScript 2015. Đây là cách an toàn hơn để khai báo biến so với var, vì nó có phạm vi khối. Sử dụng từ khóa const: Cũng được giới thiệu trong ES6. Nó được sử dụng để khai báo biến hằng số mà giá trị của nó sẽ không thay đổi trong suốt quá trình thực thi mã."
3,Làm thế nào để khai báo biến rõ ràng trong TypeScript?,"Trong TypeScript, bạn có thể khai báo biến tĩnh bằng dấu hai chấm (:) theo sau bởi kiểu dữ liệu của kiểu rõ ràng. Bạn không thể gán giá trị của kiểu dữ liệu khác cho biến tĩnh. Các giá trị của cùng kiểu dữ liệu có thể được gán."
4,Làm thế nào để khai báo hàm với chú thích kiểu trong TypeScript?,"Trong TypeScript, bạn có thể khai báo hàm bằng cách định nghĩa kiểu của các tham số mà chúng nhận và kiểu của tham số mà nó sẽ trả về sau khi thực thi. Ví dụ:"
5,"Mô tả kiểu ""any"" trong TypeScript.","Kiểu dữ liệu any sẽ cho phép bạn gán giá trị của bất kỳ kiểu dữ liệu nào cho một biến. Đôi khi, khi dữ liệu đến từ các nguồn khác như gọi API hoặc dữ liệu do người dùng nhập. Trong trường hợp đó, bạn có thể không biết kiểu của dữ liệu, vì vậy bạn có thể sử dụng kiểu any để gán giá trị của bất kỳ loại nào cho một biến. Ví dụ:"
6,Ưu điểm của việc sử dụng TypeScript là gì?,"Có rất nhiều ưu điểm của việc sử dụng TypeScript, một số trong số đó được liệt kê dưới đây: Mã TypeScript có thể biên dịch xuống mã JavaScript có thể chạy trên mọi trình duyệt. Nó cho phép chúng ta khai báo các biến kiểu mạnh hoặc tĩnh. Nó bao gồm các tính năng nâng cao như hoàn thành mã, IntelliSense, v.v. Nó hỗ trợ khái niệm namespace với sự giúp đỡ của module. TypeScript ném lỗi tại thời gian biên dịch trong quá trình phát triển không giống như JavaScript hiển thị lỗi tại thời gian chạy."
7,Liệt kê một số nhược điểm của việc sử dụng TypeScript.,"Cũng tồn tại một số nhược điểm của việc sử dụng TypeScript như được liệt kê dưới đây: Khái niệm lớp trừu tượng không được hỗ trợ bởi TypeScript. Việc biên dịch mã là quá trình tốn thời gian trong TypeScript. Một bước bổ sung chuyển đổi mã TypeScript thành mã JavaScript được yêu cầu khi chạy TypeScript. Một file định nghĩa cần được thêm để sử dụng bất kỳ thư viện bên ngoài nào... (Nội dung bị cắt, nhưng dịch: Cũng tồn tại một số nhược điểm của việc sử dụng TypeScript như được liệt kê dưới đây: Khái niệm lớp trừu tượng không được hỗ trợ bởi TypeScript. Việc biên dịch mã là quá trình tốn thời gian trong TypeScript. Một bước bổ sung chuyển đổi mã TypeScript thành mã JavaScript được yêu cầu khi chạy TypeScript. Một file định nghĩa cần được thêm để sử dụng bất kỳ thư viện bên ngoài nào)."
8,Kiểu dữ liệu Tuple trong TypeScript là gì?,Tuple là kiểu dữ liệu cho phép bạn khai báo một mảng chứa các giá trị của các kiểu dữ liệu khác nhau. Kiểu dữ liệu tuple được sử dụng để lưu trữ một chuỗi các giá trị có thể khác nhau về kiểu dữ liệu. Ví dụ:
9,Enum trong TypeScript là gì?,Enum là một trong những tính năng của TypeScript cho phép chúng ta khai báo một tập các biến hằng số có tên. Enum có thể được định nghĩa sử dụng từ khóa enum. Các giá trị của enum có thể được số hoặc chuỗi. Ví dụ:
10,Union type trong TypeScript là gì?,Union type là một kiểu dữ liệu trong TypeScript cho phép biến có thể chứa giá trị của một trong nhiều kiểu dữ liệu khác nhau. Nó được sử dụng bằng cách sử dụng dấu
11,Intersection type trong TypeScript là gì?,Intersection type là một kiểu dữ liệu trong TypeScript cho phép biến có thể chứa giá trị của tất cả các kiểu dữ liệu được chỉ định. Nó được sử dụng bằng cách sử dụng dấu & (ampersand) giữa các kiểu dữ liệu. Ví dụ:
12,Type assertion trong TypeScript là gì?,Type assertion là cách ép kiểu dữ liệu trong TypeScript. Nó được sử dụng khi chúng ta biết rõ hơn trình biên dịch về kiểu của một giá trị. Type assertion được thực hiện bằng cách sử dụng từ khóa as. Ví dụ:
13,Type guard trong TypeScript là gì?,Type guard là một kỹ thuật trong TypeScript để thu hẹp kiểu của biến trong một khối mã. Nó giúp trình biên dịch hiểu rằng biến có một kiểu cụ thể trong một điều kiện nhất định. Ví dụ:
14,Generic trong TypeScript là gì?,Generic là một tính năng trong TypeScript cho phép chúng ta tạo các thành phần tái sử dụng có thể làm việc với nhiều kiểu dữ liệu khác nhau. Generic được định nghĩa bằng cách sử dụng dấu <t>. Ví dụ:</t>
15,Mapped types trong TypeScript là gì?,Mapped types là một tính năng trong TypeScript cho phép chúng ta tạo các kiểu mới dựa trên kiểu hiện có bằng cách ánh xạ các thuộc tính của nó. Ví dụ:
16,Conditional types trong TypeScript là gì?,Conditional types là một tính năng trong TypeScript cho phép chúng ta định nghĩa các kiểu dựa trên điều kiện. Nó sử dụng cú pháp T extends U ? X : Y. Ví dụ:
17,Utility types trong TypeScript là gì?,"Utility types là các kiểu được cung cấp sẵn trong TypeScript để thao tác với các kiểu khác. Một số utility types phổ biến: Partial<t>, Required<t>, Readonly<t>, Pick&#x3C;T, K>, Omit&#x3C;T, K>, Record&#x3C;K, T>. Ví dụ:</t></t></t>"
18,Overload trong TypeScript là gì?,Overload là một tính năng trong TypeScript cho phép chúng ta định nghĩa nhiều chữ ký hàm với cùng tên nhưng các tham số hoặc kiểu trả về khác nhau. Ví dụ:
19,Namespace trong TypeScript là gì?,Namespace là một cách để tổ chức mã trong TypeScript bằng cách nhóm các thành phần liên quan lại với nhau. Nó giúp tránh xung đột tên. Ví dụ:
20,Module trong TypeScript là gì?,Module là một file hoặc tập hợp file chứa mã JavaScript có thể được tái sử dụng. TypeScript hỗ trợ các module ES6 và CommonJS. Ví dụ:
21,Declaration merging trong TypeScript là gì?,Declaration merging là tính năng cho phép chúng ta hợp nhất các khai báo có cùng tên trong TypeScript. Nó hữu ích khi mở rộng các kiểu hoặc giao diện. Ví dụ:
22,Ambient declaration trong TypeScript là gì?,Ambient declaration là cách khai báo các kiểu cho mã JavaScript bên ngoài mà không triển khai chúng. Nó sử dụng từ khóa declare. Ví dụ:
23,Triple-slash directive trong TypeScript là gì?,"Triple-slash directive là một chỉ thị đặc biệt trong TypeScript để tham chiếu đến file định nghĩa (.d.ts). Ví dụ: /// <reference path=""...""></reference>"
24,Compiler options trong TypeScript là gì?,"Compiler options là các tùy chọn cấu hình cho trình biên dịch TypeScript, kiểm soát cách mã được biên dịch. Chúng được định nghĩa trong tsconfig.json. Ví dụ: target, module, strict."
25,tsconfig.json là gì?,"tsconfig.json là file cấu hình cho trình biên dịch TypeScript, chỉ định các tùy chọn biên dịch, file bao gồm/loại trừ. Ví dụ: { ""compilerOptions"": { ""target"": ""es5"" } }"
26,Strict mode trong TypeScript là gì?,"Strict mode là tập hợp các tùy chọn kiểm tra nghiêm ngặt trong TypeScript để bắt lỗi sớm, như strictNullChecks, noImplicitAny. Nó giúp mã an toàn hơn."
27,Non-null assertion operator trong TypeScript là gì?,Non-null assertion operator (!) được sử dụng để khẳng định rằng một giá trị không phải null hoặc undefined. Ví dụ: let x = y!;
28,Unknown type trong TypeScript là gì?,"Unknown type là kiểu an toàn hơn any, yêu cầu kiểm tra kiểu trước khi sử dụng. Nó đại diện cho bất kỳ giá trị nào nhưng không cho phép thao tác trực tiếp. Ví dụ: let v: unknown = 4;"
29,Never type trong TypeScript là gì?,"Never type đại diện cho giá trị không bao giờ xảy ra, như hàm ném lỗi hoặc vòng lặp vô tận. Ví dụ: function error(): never { throw new Error(); }"
30,Symbol type trong TypeScript là gì?,"Symbol là kiểu nguyên thủy cho các giá trị duy nhất, thường dùng làm key cho thuộc tính đối tượng. Ví dụ: const sym = Symbol('key');"
31,BigInt trong TypeScript là gì?,"BigInt là kiểu số nguyên có độ chính xác tùy ý, dùng cho số lớn. Ví dụ: const big = 100n;"
32,Literal types trong TypeScript là gì?,"Literal types là các kiểu cụ thể như 'hello' hoặc 42, dùng để hạn chế giá trị. Ví dụ: type Greeting = 'hello';"
33,Template literal types trong TypeScript là gì?,"Template literal types cho phép tạo kiểu từ chuỗi mẫu, như ${T}. Ví dụ: type World = 'world'; type Greeting = hello ${World}; // ""hello world"""
34,Keyof operator trong TypeScript là gì?,"Keyof operator trả về union của các key của kiểu. Ví dụ: type Person = { name: string }; type Keys = keyof Person; // ""name"""
35,In operator trong TypeScript là gì?,In operator dùng trong conditional types để kiểm tra xem key có trong union không. Ví dụ: type HasName<t> = 'name' extends keyof T ? true : false;</t>
36,Indexed access types trong TypeScript là gì?,Indexed access types truy cập kiểu của thuộc tính. Ví dụ: type Person = { name: string }; type NameType = Person['name']; // string
37,Extends trong conditional types là gì?,Extends dùng để kiểm tra xem kiểu T có mở rộng U không trong conditional types. Ví dụ: type IsString<t> = T extends string ? true : false;</t>
38,Infer trong conditional types là gì?,Infer dùng để suy luận kiểu từ input. Ví dụ: type UnpackArray<t> = T extends (infer U)[] ? U : T;</t>
39,Type guards với typeof là gì?,Type guards với typeof kiểm tra kiểu runtime để thu hẹp kiểu. Ví dụ: function isString(x: any): x is string { return typeof x === 'string'; }
40,User-defined type guards là gì?,User-defined type guards là hàm trả về kiểu guard để thu hẹp kiểu. Ví dụ: function isFish(pet: Fish
41,Discriminated unions là gì?,Discriminated unions là union với thuộc tính chung phân biệt. Ví dụ: type Shape = Circle
42,Exhaustive checking với never là gì?,Exhaustive checking sử dụng never để đảm bảo tất cả trường hợp được xử lý. Ví dụ: function getAction(action: Action): string { switch (action.type) { case 'click': return 'clicked'; default: const _ : never = action; } }
43,Trong tình huống nào bạn nên sử dụng class và interface?,"Chúng ta có thể sử dụng class và interface để định nghĩa kiểu dữ liệu tùy chỉnh của riêng mình. Có các trường hợp sử dụng và tình huống khác nhau nơi chúng ta có thể sử dụng interface và class. Interface có thể được sử dụng trong tình huống nơi hình dạng, cấu trúc và hợp đồng sẽ được định nghĩa để chỉ ra cách một đối tượng hoặc class sẽ trông như thế nào mà không có triển khai của chúng. Nó cũng có thể được sử dụng để thực thi một số thuộc tính và phương thức cho class và đối tượng. Mặt khác, class có thể được sử dụng nơi chúng ta cần đóng gói dữ liệu để ẩn nó khỏi mã bên ngoài và ngăn truy cập trực tiếp vào dữ liệu này. Nó có thể được sử dụng để triển khai các khái niệm Lập trình Hướng đối tượng."
44,Sự khác biệt giữa class và interface trong TypeScript là gì?,"Class được định nghĩa sử dụng từ khóa class. Các class có thể chứa phương thức, thuộc tính và biến. Phương thức của class được định nghĩa khi class được triển khai. Instance của class sẽ cho phép chúng ta truy cập thuộc tính và phương thức được định nghĩa bên trong class. Interface được định nghĩa sử dụng từ khóa interface. Nó chỉ chứa các khai báo của thuộc tính và phương thức được triển khai bởi class dẫn xuất."
45,Làm thế nào để khai báo class trong TypeScript?,"Cú pháp để khai báo class trong TypeScript gần giống như trong JavaScript. Trong TypeScript, bạn cũng có thể sử dụng các khai báo kiểu cho biến và phương thức của class. Ví dụ:"
46,Làm thế nào để sử dụng kế thừa trong TypeScript?,Kế thừa là một trong bốn trụ cột chính của Lập trình Hướng đối tượng. Nó cho phép class kế thừa hoặc thu được thuộc tính và phương thức của class khác và triển khai chúng với instance được tạo sử dụng class kế thừa. Kế thừa có thể được triển khai sử dụng từ khóa extends sau tên class con theo sau bởi tên class cha.
47,Các cách khác nhau để kiểm soát khả năng nhìn thấy của dữ liệu thành viên là gì?,TypeScript cung cấp cho chúng ta ba cách để kiểm soát khả năng nhìn thấy của thành viên như phương thức và thuộc tính trong class. Private: Các thành viên private chỉ có thể truy cập bên trong class. Chúng không thể được truy cập bởi mã bên ngoài. Public: Đây là khả năng nhìn thấy mặc định của thành viên. Các thành viên này có thể truy cập từ bất kỳ đâu trong mã bằng cách định nghĩa instance của class. Protected: Các thành viên này chỉ có thể truy cập bởi các class được kế thừa sử dụng class chứa thành viên. Không mã nào khác không kế thừa class có thể truy cập các thành viên này.
48,Làm thế nào để chuyển đổi file .ts thành file định nghĩa TypeScript?,Bạn có thể thay đổi file .ts thành file định nghĩa với sự giúp đỡ của trình biên dịch TypeScript bằng cách sử dụng lệnh --declaration theo sau bởi tên của file .ts. File định nghĩa sẽ làm file TypeScript tái sử dụng được.
49,Có thể tạo class tĩnh trong TypeScript không?,"Không, TypeScript không hỗ trợ class tĩnh. Vì, trong TypeScript không yêu cầu class tĩnh vì bạn có thể đơn giản tạo bất kỳ hàm hoặc dữ liệu nào như một đối tượng mà không tạo class chứa."
50,Giải thích kiểu điều kiện trong TypeScript?,"Trong TypeScript, chúng ta có thể sử dụng toán tử ternary (condition ? true : false) để gán các kiểu động cho một thuộc tính. Nó sẽ gán một kiểu động dựa trên điều kiện được định nghĩa trong toán tử ternary. Comment More info Advertise with us Aabhish8rzd Follow Improve Article Tags: TypeScript Interview-Questions"
